hatespeech,csType,counterspeech,hs_id,id,hatespeechTarget,speakerIntent,powerDynamics,hatespeechImplication,targetGroupCognitiveReaction,targetGroupEmotionalReaction,hatespeechOffensiveness
Why is the EU transforming into a refugees colony? We shouldnt welcome them.,Informative,The eu has always welcomed people from around the world. Refugees are a part of this.,2472,4449,refugees,The speaker is trying to express their opinion about the EU and refugees,immigration_and_citizenship,"implies that refugees are a burden on the EU, and that they should not be welcomed in the country","will feel less welcome in the country they are in, will want to avoid those kinds of conversations with people like the speaker","refugees could feel angry, scared, or unwelcome in the country they are in",microaggression
"This is not about religion, this is about killing hundreds of thousands of dangerous yids.",Positive,"I understand that you may have strong feelings about this topic, but let's try to approach it in a more compassionate and respectful manner. It's important to remember that generalizing and using derogatory terms can hurt and divide communities. Instead, let's focus on fostering understanding and finding common ground. We can engage in a constructive dialogue where we can share our perspectives and learn from each other. Together, we can build bridges of empathy and promote harmony.",3279,7611,jews,The speaker is trying to express their opinion about a certain group of people,religion,"implies that Jewish people are dangerous and should be killed, which is a false stereotype","Jewish people could feel less safe in their communities, more fearful of being attacked or discriminated against","Jewish people could feel angry, scared, and threatened by this statement",offensive generalization
We are taking in people that are ruining our countries all migrants are a burden.,Positive,"It's important to recognize that migrants bring diverse skills, talents, and perspectives to our countries. While it's true that some individuals may face challenges upon arrival, it's unfair to generalize and label all migrants as burdens. Many contribute to the economy, enrich cultural diversity, and fill labor gaps. By fostering inclusivity, we can build stronger, more resilient societies that benefit from the contributions of everyone, regardless of their background.",1345,7652,immigrants,The speaker is trying to express their opinion about immigrants,immigration_and_citizenship,"implies that all immigrants are a burden on the country, and that they should not be allowed in","immigrants could feel less welcome in the country they are in, and more likely to be discriminated against","immigrants could feel angry, scared, and unwelcome in the country they are in",offensive generalization
"Islam is a total and complete poison, it must be stopped.",Positive,"It's important to approach discussions about religion with respect and empathy. Islam, like any other faith, is a diverse and complex religion with millions of followers around the world. It promotes values such as peace, love, and compassion. It is not fair to label an entire religion as poison based on the actions of a few extremists. By fostering understanding and promoting dialogue, we can build bridges and work towards a more inclusive and tolerant society.",1413,7009,muslims,The speaker is trying to express their opinion about Islam and its followers,religion,"implies that Islam is a dangerous religion, and that it should be stopped","Muslims could feel less welcome in the country they are in, or more likely to be discriminated against due to this statement","Muslims could feel angry, scared, or threatened by the statement",offensive generalization
"Down children are meant to be isolated from normal ones, they cannot cope with education in normal schools and hamper their peers education.",Positive,"Every child, regardless of their abilities, deserves equal opportunities for education and inclusion. Inclusive education has proven to benefit not only children with down syndrome but also their peers. By embracing diversity in the classroom, we create a supportive environment that fosters empathy, understanding, and mutual growth. With appropriate support and accommodations, children with down syndrome can thrive and contribute positively to the educational experience of all students. It is through inclusion that we truly enrich and strengthen our educational communities.",2396,8552,people_with_mental_disability,The speaker is trying to express their opinion that Down children are not capable of coping with education in normal schools,other,"implies that Down children are not capable of coping with education in normal schools, and that they should be isolated from them","Down children could feel less confident in their abilities, less likely to want to participate in school activities, and more likely to internalize negative stereotypes about themselves.","Down children could feel angry, frustrated, and invalidated by the statement",offensive generalization
"Multiculturalism is the death of western societies, we should get rid of minorities.",Informative,"Multiculturalism is not the death of western societies, but rather a strength that fuels progress and innovation. Numerous studies have shown that diverse societies are more resilient and economically prosperous. In fact, immigrants contribute significantly to the growth and development of western economies. They enrich our cultural fabric and bring new perspectives that foster creativity. The idea of getting rid of minorities is not only morally wrong but also counterproductive. Embracing diversity allows us to build inclusive and harmonious societies that thrive on the values of equality and respect for all.",2568,11467,people_of_color,The speaker is trying to express their opinion that multiculturalism is bad and should be eliminated,racial,"implies that minorities are a threat to western societies, and that they should not be allowed in the country","minorities could feel less welcome in the country they are in, and more likely to be discriminated against","minorities could feel angry, scared, and unwelcome in the country they are in",offensive generalization
"Women are basically childlike, incapable of critical thought and unable to form complex and longterm plans.",Questioning,Are there no examples of women who have excelled in critical thinking and long-term planning in various fields throughout history?,3243,13634,women,The speaker is trying to express their opinion about women,gender,"implies that women are not capable of critical thought, and cannot form complex and long-term plans","will feel less welcome in the workplace, will want to avoid those kinds of jobs with men like the speaker","women could feel angry, frustrated, and disrespected by the statement",offensive generalization
Women are little more than objects to be dominated by men.,Questioning,Are you suggesting that women have no autonomy or value beyond serving men? how does this perspective align with promoting equality and respect?,867,6368,women,The speaker is trying to express their opinion about women,gender,"implies that women are objects to be dominated by men, and that they are not capable of making decisions for themselves","will feel less welcome in society, will want to avoid those kinds of conversations with people like the speaker","women could feel angry, frustrated, and disrespected by the statement",offensive generalization
All foreignborn are criminals.,Denouncing,"People should be judged based on their actions and character, not their place of birth. Let's promote inclusivity and respect.",1738,8065,other,The speaker is trying to express their opinion about foreign-born people,ethnicity_and_culture,"implies that all foreign-born people are criminals, which is a false stereotype","foreign-born people could want to avoid the speaker, feel less welcome in the country they are in, or feel like they need to prove themselves more than other citizens","foreign-born people could feel angry, scared, or frustrated at the assumption that they are all criminals",offensive generalization
"Women are just a burden to society, they have no reasoning capabilities. Why should we listen to them?",Informative,"Women have been oppressed by men. The level of equality that exists today is due, in large part, to the work of women like germaine greer.",1208,2538,women,The speaker is trying to express their opinion about women,gender,"implies that women are not capable of making rational decisions, and that their opinions should not be taken seriously","will feel less welcome in society, will want to avoid those kinds of conversations with people like the speaker","women could feel angry, frustrated, and disrespected by the statement",offensive generalization
"Jews are immoral they should be ashamed of having survived the Holocaust, and I would remedy that.",Positive,"It is important to approach discussions about sensitive topics like the holocaust with empathy and understanding. Stereotyping and generalizing an entire group of people based on their religion is unfair and unjust. The holocaust was a tragic event that affected millions of innocent lives, and we should honor the strength and resilience of the survivors. Let's promote unity, respect, and education to build a more inclusive and tolerant society for all.",1296,7131,jews,The speaker is trying to express their opinion about Jews and the Holocaust,religion,"implies that Jews are immoral, and that they should be ashamed of having survived the Holocaust","Jews could feel less welcome in the conversation, less likely to trust the speaker, and more likely to be discriminated against","Jews could feel angry, hurt, and offended by the statement",offensive generalization
We cannot allow people from different cultures to coexist in our country.,Positive,"I understand your concerns about cultural differences, but i truly believe that coexistence is what makes our country diverse and vibrant. When people from different cultures come together, we have an opportunity to learn from each other, celebrate our differences, and create a stronger, more inclusive society. Let's embrace the richness of our cultural tapestry and strive for understanding and respect. Together, we can build a harmonious and united community that benefits us all.",1887,13085,other,The speaker is trying to express their opinion that people from different cultures should not be allowed to coexist in the country,ethnicity_and_culture,"implies that people from different cultures are not welcome in the country, and that they should not be allowed to coexist with each other","people from different cultures could feel less welcome in the country they are in, or more likely to be discriminated against","people from different cultures could feel angry, scared, or unwelcome in the country they are in",offensive generalization
Physically disabled folks are less useful than normal people.,Positive,"It is crucial to recognize that the value and usefulness of individuals cannot be determined solely based on their physical abilities. Every person has unique qualities, skills, and talents that contribute to society in meaningful ways. Embracing diversity and fostering inclusivity allows us to appreciate the diverse perspectives and abilities that every individual brings. Together, we can create a society that celebrates and harnesses the strengths of people with and without disabilities, making it a more compassionate and inclusive place for all.",3097,12141,people_with_physical_disability,The speaker is trying to express their opinion about physical disabled people,physical_or_mental_dissability,"implies that physically disabled people are not capable of doing anything, and that they are less valuable than normal people","might lead to feelings of self-doubt or low self-esteem, might lead to feelings of isolation or exclusion from society","physically disabled folks could feel angry, frustrated, and invalidated by the statement",offensive generalization
Holocaust is just a lie spread by Jews to obtain a preferential treatment.,Denouncing,"The holocaust is a historically proven event of immense tragedy, and spreading such hate speech only perpetuates discrimination and ignorance.",874,9188,jews,The speaker is trying to express their opinion about the Holocaust,religion,"implies that Jews are lying about the Holocaust, and that it was a lie spread by them to get preferential treatment","Jews could feel less safe in public spaces, or more likely to be discriminated against due to this statement","Jews could feel angry, offended, and hurt by the statement",offensive generalization
Every Muslim is a potential terrorist.,Positive,The majority of muslims worldwide are peaceful.,224,873,muslims,"The speaker is trying to express distrusts against Muslims, calling them all terrorists",religion,"implies that all Muslims are terrorists, and that they cannot be trusted","Muslims could feel less welcome in the country they are in, more likely to be discriminated against, and more likely to be targeted by law enforcement","Muslims could feel angry, scared, and threatened by the statement",offensive generalization
"If you want to stop racism you have to start speaking about it, not writing off whites as the problem.",Denouncing,"True progress comes from open dialogue, empathy, and collective responsibility.",596,9718,other,The speaker is trying to encourage the audience to speak up about racism and not ignore it,racial,"implies that white people are the cause of racism, and that they should not be blamed for it","might lead white people to become more aware of their privilege and how it affects others, might lead them to become more vocal about racism","white people could feel angry, frustrated, or defensive at the implication that they are the cause of racism",offensive generalization
"Jews control Hollywood, they own most banks, and they own most corporations.",Denouncing,Such baseless claims only sow division and hatred.,428,10963,jews,The speaker is trying to make a point about the power of Jews in society,religion,"implies that Jews are in control of everything, and that they have too much power in society","Jews could likely be more feared, and will feel less welcome in the country they are in","Jews could feel angry that their religion is being used as a scapegoat, afraid that people will believe that stereotype",offensive generalization
"Retards these days are as stupid as they were when they were little. They think they are so special that they can read, write and be creative. It is their world now.",Positive,"I understand that you may have frustrations, but it's important to remember that everyone deserves respect and kindness. We all have unique abilities and strengths that make us special in our own ways. Instead of using derogatory language, let's focus on embracing diversity and promoting understanding. Together, we can create a world where everyone feels valued and supported. Let's build bridges, not walls.",635,12248,people_with_physical_disability,The speaker is trying to express their opinion about disabled people,other,"implies that disabled people are stupid, and that they think they are special because they can read, write and be creative.","disabled people could feel less welcome in society, more likely to be judged for their disability, and more likely to be discriminated against.","disabled people could feel angry, frustrated, and insulted by the statement.",offensive generalization
"The West has been attacked by immigrants, they are the real problem for our countries.",Informative,There is no proof that immigrants are responsible for the problems we are having in europe.,1327,2721,immigrants,The speaker is trying to express their opinion about immigrants,ethnicity_and_culture,"implies that immigrants are a threat to the West, and that they are the real problem for the countries they are in","immigrants could feel less welcome in the West, and more likely to be targeted by law enforcement or other authorities","immigrants could feel angry, scared, and unwelcome in the West",offensive generalization
Asians just want to talk with other asians they are the racists in the first place.,Informative,"The idea that all asians are racist is just a myth, it is just an excuse to justify racist policies.",1049,2330,asian_people,The speaker is trying to express their opinion about Asians and racism,racial,"It implies that all Asians are racists, and that they are only interested in talking with other Asians.","might cause POC to avoid the speaker and assume he is prejudiced, might make Asian folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
Islam is just a violent religion that cannot be reconciled with western society.,Denouncing,"We denounce generalizations and stereotypes. Islam, like any other religion, promotes peace and coexistence. There are countless examples of muslims contributing positively to western society.",2099,6245,muslims,The speaker is trying to express their opinion about Islam,religion,"implies that Islam is a violent religion, and that it cannot be reconciled with western society","Muslims could likely be more feared, and will feel less welcome in the country they are in","Muslims could feel angry that their religion is being framed as violent, afraid that people will believe that stereotype",offensive generalization
Gypsies are dirty,Questioning,"Even though they try their hardest, how can you expect them to keep your level of standards when they have so little resources?",149,599,gypsies,The speaker is trying to express their opinion about a certain group of people,racial,"implies that all Gypsies are dirty, which is a stereotype that has been used to oppress them for centuries","Gypsies could want to avoid the speaker, feel less comfortable in public spaces, or feel like they need to prove themselves more than others do","Gypsies could feel angry, hurt, or offended by the statement",offensive generalization
Gypsies like living in trailer parks.,Denouncing,"Nobody likes living in trailer parks, they could be forced to do it out of desperation and poverty, which only gets worse with the amount of hate they receive.",144,580,gypsies,The speaker is trying to make a joke about gypsies,racial,"implies that all gypsies like living in trailer parks, which is false and offensive","gypsies could want to avoid the speaker, feel less comfortable in the conversation, and could make them seem more foreign than they are","gypsies could feel angry, insulted, and offended by the statement",offensive generalization
Gypsy rape our women. They are criminals.,Denouncing,Spreading hate and stereotypes is unacceptable. It is wrong to generalize the actions of a few individuals to an entire community.,606,9172,gypsies,"The speaker is trying to express distrusts against Gypsies, calling them all criminals",gender,"implies that all Gypsies are criminals, and that they are a threat to women","Gypsies could likely be more feared, and will feel less welcome in the country they are in","Gypsies could feel angry that their entire ethnicity is being framed as criminal, afraid that people will believe that stereotype",offensive generalization
Jews are a disease and a cancer on humanity.,Questioning,How can we promote inclusivity and understanding among different cultures and religions instead of spreading hate and division?,2794,10731,jews,The speaker is trying to express their anti-semitic views,religion,"implies that Jews are a disease and a cancer on humanity, which is a false stereotype","Jews could feel less welcome in the country they are in, more likely to be discriminated against, and more likely to be discriminated against","Jews could feel angry, scared, and threatened by the statement",hate speech
"Down syndrome is a problem for everybody, it is a disability that cant be cured. The sooner we get rid of it the better it will be for everybody.",Positive,"It is clear that in addition to advocacy, it is our responsibility to educate our government, our professionals and our society, including those in the down syndrome community.",3410,5848,people_with_mental_disability,The speaker is trying to express their opinion about Down syndrome and its effects on society,other,"implies that Down syndrome is a bad thing, and that it should be removed from society in order for it to be better for everyone","people with Down syndrome could feel less welcome in society, more isolated, and more likely to be discriminated against","people with Down syndrome could feel angry, frustrated, and hurt by the statement",offensive generalization
"Muslims are invading us. They are our enemies, they will always be our enemies.",Positive,"It is important to address our concerns in a respectful manner. Promoting understanding and empathy fosters a more inclusive society. Muslims, like any other religious group, are diverse and individuals shouldn't be generalized. Embracing diversity can help build stronger communities where we can learn from one another and promote peace. Let's focus on creating a harmonious society where everyone feels valued and respected.",2323,11687,muslims,"The speaker is trying to express distrusts against Muslims, calling them all enemies",religion,"implies that all Muslims are invading the US, and that they will always be enemies of the US","Muslims could likely be more feared, and will feel less welcome in the country they are in","Muslims could feel angry that their entire religion is being framed as an enemy, afraid that people will believe that stereotype",offensive generalization
Arabs have no place in a democratic society.,Denouncing,"Every individual, regardless of their ethnicity, deserves equal rights and opportunities in a democratic society. Discrimination based on ethnicity contradicts the principles of democracy.",1216,8245,asian_people,The speaker is trying to express their opinion on the role of Arabs in a democratic society,ethnicity_and_culture,"implies that Arabs are not capable of being part of a democratic society, and that they should not be allowed to do so","Arabs could feel less welcome in the country they are in, and more likely to be discriminated against.","Arabs could feel angry, frustrated, and discriminated against by the statement",offensive generalization
"We Germans have always been the proud and selfreliant Volk. Jews, homosexual and other perverts are untermenschen we must get rid of to have a better society.",Positive,We can only be self-relient and proud when we are proud of all our people and all of them are self-relient,657,1662,lgbtq+,"The speaker is trying to express their opinion about Jews, homosexuals, and other perverts",religion,"implies that Jews, homosexuals, and other perverts are not part of the German identity and should be removed from society","will feel less welcome in the country they are in, will want to avoid those kinds of conversations with people like the speaker","Jews, homosexuals, and other perverts could feel angry, scared, or threatened by this statement",offensive generalization
Muslims are here to rule us with their religion.,Questioning,Can you provide any evidence or scientific research to support such a sweeping and discriminatory statement?,1942,7301,muslims,The speaker is trying to express their distrust of Muslims and their religion,religion,"implies that all Muslims are out to rule the world, and that their religion is the only way to do so","Muslims could feel less welcome in the country they are in, or more likely to be discriminated against due to their religion","Muslims could feel angry, scared, or threatened by the statement",offensive generalization
Children with Down Syndrome are a problem they slow the learning of the whole class. They should go to special school just for them.,Questioning,Are there proven studies showing that inclusive classrooms with support systems for children with down syndrome impede the learning of non-disabled students?,2540,8433,people_with_mental_disability,The speaker is trying to express their opinion about children with Down Syndrome,other,"implies that children with Down Syndrome are not capable of learning, and that they should be segregated from the rest of the class","could lead to feelings of isolation or alienation from the rest of society, could make them feel like they don't belong in society","children with Down Syndrome could feel angry, frustrated, or hurt by the statement",microaggression
"Whenever the West attempts to take back anything, it triggers massive mass migrations, civil wars and extremist violence.",Informative,"Migration is a natural and healthy process. It is not a crime to have the desire to emigrate. We can talk about immigration levels, but we should not make the mistake of equating immigration with invasion.",796,1890,refugees,The speaker is trying to express their opinion about the West's attempts to take back something,racial,"implies that people of color, immigrants, refugees, and extremists are violent and dangerous","people of color, immigrants, refugees, and extremists could feel less welcome in the West and more likely to be targeted by outside forces","people of color, immigrants, refugees, and extremists could feel angry at the implication that they are violent and dangerous",offensive generalization
The disabled should be isolated.,Denouncing,"Every person, regardless of their abilities, deserves to be included and embraced by society. Isolation perpetuates discrimination and goes against the values of inclusivity and equality for all.",3255,12538,people_with_physical_disability,The speaker is trying to express their opinion about disabled people,physical_or_mental_dissability,"implies that disabled people are not capable of functioning in society, and should be isolated from it","will feel less welcome in society, will want to avoid those kinds of conversations with people like the speaker","disabled people could feel angry, hurt, and invalidated by the statement",microaggression
Those sick ones should be shunned and ignored. They are not human.,Informative,"Describing individuals as ""sick"" and suggesting they should be shunned and ignored perpetuates stigma and discrimination against people with health conditions or disabilities Such attitudes disregard their humanity and overlook their potential contributions to society Instead, fostering empathy and understanding, and advocating for inclusive policies and support networks, can help create a more compassionate and inclusive community",491,12888,other,The speaker is trying to express their opinion about people with illnesses,other,"implies that people with illnesses are not human, and should be ignored or ignored","people with illnesses could feel less welcome in society, less likely to seek help or treatment, and more likely to be discriminated against","people with illnesses could feel angry, hurt, and invalidated by the statement",offensive generalization
We have been taught that only women can be feminists and that men have a narrow minded and misogynist view of women.,Questioning,Do you think it's fair to generalize and overlook the challenges women face in their personal and professional lives? what about equal opportunities and gender inequality?,755,7688,men,The speaker is trying to express their opinion that men have a narrow minded and misogynistic view of women,gender,"implies that men have a narrow minded and misogynistic view of women, which is untrue and offensive","might lead men to be more aware of their own biases and prejudices, might lead them to be more cautious when interacting with women",men could feel angry or frustrated at the implication that they have a narrow minded and misogynistic view of women,offensive generalization
"All immigrants are criminals, rapists and terrorists",Positive,"It is important to address concerns without perpetuating harmful stereotypes. The claim fails to acknowledge the vast majority of immigrants who contribute positively to society, working hard, contributing to the economy, and enriching our cultural fabric. Let's embrace empathy and recognize that individuals should be judged on their own merits rather than making sweeping generalizations based on ethnicity or immigration status.",617,13939,immigrants,"The speaker is trying to express distrusts against immigrants, calling them all criminals, rapists and terrorists",ethnicity_and_culture,"implies that all immigrants are criminals, rapists and terrorists, which is a false stereotype","immigrants could likely be more feared, and will feel less welcome in the country they are in","immigrants could feel angry that their entire country is being framed as criminal, afraid that people will believe that stereotype",offensive generalization
Feminism should be dead and give place to a maledominated world.,Informative,Feminism has always been in favour of women's rights. Now is time for us to open our hearts and minds and stop giving in to sexism.,1447,2878,women,The speaker is trying to express their opinion on feminism,gender,"implies that feminism is wrong, and that women should not be allowed to have a voice in society","will feel less welcome in society, will want to avoid those kinds of conversations with people like the speaker","women could feel angry, frustrated, and invalidated by the statement",microaggression
Arabs are the worst people on the planet. They want to rule the world.,Denouncing,It is wrong to generalize a whole group of people based on ethnicity and perpetuate harmful stereotypes.,725,8239,asian_people,The speaker is trying to express their opinion about Arabs,ethnicity_and_culture,"implies that all Arabs are bad people, and want to rule the world","Arabs could feel less welcome in the country they are in, and more likely to be discriminated against due to this stereotype.","Arabs could feel angry, frustrated, and insulted by the statement",offensive generalization
Gays are a plague spreading all around the world. They pollute our water supply and ruin our childrens brains.,Questioning,"Isn't it better for children to live next to people of all sexual orientations, rather than being separated and growing up ignorant of others? not sure what you mean about the water supply though!",903,2059,lgbtq+,The speaker is trying to express their opinion about gay people,sexuality_lgbtq+,"implies that gay people are a threat to society, and that they are a burden on children's brains","gay people could feel less welcome in society, more likely to be discriminated against, and more likely to be judged for their sexuality","gay people could feel angry, scared, and threatened by the statement",offensive generalization
Mentally disabled folks are messed up.,Positive,"It is important to remember that everyone deserves respect and understanding, regardless of their mental abilities. People with disabilities should be embraced with empathy and support, as they contribute unique perspectives and talents to our society. Labeling them as messed up only perpetuates stigmatization and marginalization. Let us foster inclusivity and acceptance, recognizing the value and potential in every individual, regardless of their mental abilities.",2235,11193,people_with_mental_disability,The speaker is trying to express their opinion about people with mental disabilities,other,"implies that people with mental disabilities are not normal, and that they are not capable of functioning in society","people with mental disabilities could want to avoid the speaker, feel less comfortable in public spaces, or be more likely to internalize negative stereotypes about themselves","people with mental disabilities could feel angry, hurt, and invalidated by the statement",offensive generalization
"Immigrants are not welcome here, they should leave.",Denouncing,"We strongly denounce hate speech. Immigrants contribute to the diverse fabric of our society and deserve respect, equal rights, and inclusion in our communities.",1740,9889,immigrants,The speaker is trying to express their opinion about immigrants,ethnicity_and_culture,"implies that immigrants are not welcome in the country, and should leave","immigrants could likely be more feared, and will feel less welcome in the country they are in","immigrants could feel angry, scared, and unwelcome in the country they are in",offensive generalization
Muslims have no place in civilised Europe. They are incompatible with modern culture and should be banished forever.,Denouncing,"This statement is discriminatory and promotes hate speech. Muslims are an integral part of european society, contributing to its cultural diversity and progress. We must reject such divisive rhetoric and embrace inclusivity.",3482,11852,muslims,The speaker is trying to express their opinion about Muslims and their place in Europe,religion,"implies that Muslims are incompatible with modern culture, and should be removed from Europe","Muslims could feel less welcome in Europe, more likely to be discriminated against, and more likely to be discriminated against for their religion","Muslims could feel angry, scared, and threatened by the statement",offensive generalization
Mentally ill people should be isolated from society because they are dangerous.,Positive,"It is true that mentally ill people are often perceived as 'dangerous' to the general public. But if the stigma is the main cause of the discrimination, then the solution is to end stigma, not to isolate them.",2158,3985,people_with_mental_disability,The speaker is trying to express their opinion that mentally ill people should be isolated from society,other,"implies that mentally ill people are dangerous, and should be kept away from society","mentally ill people could feel less welcome in society, less likely to seek help for their mental health issues, and more likely to internalize negative stereotypes about themselves","mentally ill people could feel scared, angry, or frustrated at the assumption that they are dangerous",offensive generalization
"Why must Islam invade every country? That is just totalitarian. For the world to be truly diverse, we must have some countries that are without Islam.",Informative,"The claim that Islam is invading every country is a misconception. Islam, like other major world religions, is practiced globally due to the movement and migration of people over centuries. The presence of diverse religions, including Islam, contributes to the cultural richness of a country. Diversity in belief systems is a strength, not a threat, fostering a more interconnected and understanding world. Its important to recognize the peaceful coexistence of multiple religions in many countries as a positive aspect of global diversity.",241,13590,muslims,The speaker is trying to express their opinion that Islam should not be invading other countries,religion,"implies that Islam is a threat to other countries, and that it should not be allowed to invade them","Muslims could likely be more feared, and will feel less welcome in the country they are in","Muslims could feel angry that their religion is being framed as a threat, afraid that people will believe that stereotype",offensive generalization
"What the hell are you talking about? Arabs are different, they dont even speak English.",Questioning,Have you encountered all arabs? are you suggesting that language defines whether people are different or not?,1698,3241,asian_people,The speaker is trying to express their opinion about Arabs,ethnicity_and_culture,"implies that Arabs are different from other ethnicities, and that they do not speak English","Arabs could feel less welcome in the country they are in, and more likely to be discriminated against due to their ethnicity","Arabs could feel angry, frustrated, and insulted by the statement",offensive generalization
We have been taught that only women can be feminists and that men have a narrow minded and misogynist view of women.,Denouncing,It is good that you realise this. But what could be better is you making a consorted effort to incorporate this ideology into your life and hold the women around you in higher standards.,755,1799,men,The speaker is trying to express their opinion that men have a narrow minded and misogynistic view of women,gender,"implies that men have a narrow minded and misogynistic view of women, which is untrue and offensive","might lead men to be more aware of their own biases and prejudices, might lead them to be more cautious when interacting with women",men could feel angry or frustrated at the implication that they have a narrow minded and misogynistic view of women,offensive generalization
Gypsies are not like us.,Positive,People may choose different ways to live their lives but ultimately they are all humans. Just like us.,2369,4287,gypsies,The speaker is trying to express their opinion about a certain group of people,racial,"implies that Gypsies are different from other people, and that they are somehow lesser than other people","might cause POC to avoid the speaker and assume he is prejudiced, might make Gypsies more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
Gypsies use their children as beggars.,Denouncing,"That crime, however heinous, could be true of any community and it is wrong for you to insinuate that gypsies alone are responsible.",132,532,gypsies,The speaker is trying to express their opinion about a certain group of people,ethnicity_and_culture,"implies that all Gypsies are untrustworthy and use their children as beggars, which is a false stereotype","Gypsies could likely be more feared, and will feel less welcome in the country they are in","Gypsies could feel angry that their entire culture is being framed as untrustworthy, afraid that people will believe that stereotype",offensive generalization
"Everyone is entitled to their opinion, but I think its better to have a safe space for disabled people to have their own feelings away from society.",Questioning,"Why should any religious or ethnic group be subjected to internment? isn't it important to promote inclusivity and respect for all individuals, regardless of their background?",2940,8610,people_with_physical_disability,The speaker is trying to express their opinion that disabled people should be able to have their own feelings away from society,other,"implies that disabled people are not capable of having their own feelings, and that they need a safe space to do so","will feel less welcome in society, will want to avoid those kinds of conversations with people like the speaker","disabled people could feel angry, frustrated, or invalidated by the statement",microaggression
African Americans are subhuman and are just a bunch of animals.,Informative,"For many african americans, sharing culture and traditions and striving for equality have always been part of life. They are, in many ways, just like us. They are human beings with the same rights as anyone else.",1438,2866,black_people,The speaker is trying to express their opinion about African Americans,racial,"implies that African Americans are not human, and that they are inferior to other races","African Americans could feel less welcome in the country they are in, might want to avoid those kinds of conversations with people like the speaker","African Americans could feel angry, hurt, and disrespected by the statement",offensive generalization
"Our economy will collapse and migrants are to blame. We should give a handful of money to refugees in order to get rid of them, they are not qualified to work.",Questioning,Does the 'solution' for the economic crisis revolve around paying the migrants to leave? it is not clear how this could solve to the real problems of our country.,1098,2396,refugees,The speaker is trying to express their opinion about refugees and migrants,other,"implies that refugees are not qualified to work, and that they are a burden on the economy","refugees could feel less welcome in the country they are in, and more likely to be discriminated against","refugees could feel angry, scared, and unwelcome in the country they are in",offensive generalization
"I am not a racist, but many races means many cultures. This leads us to great confusion.",Informative,Let us not become ethnocentric. Cultural relativists argue that there are many cultures on this planet and they all need our tolerance.,1605,3097,people_of_color,The speaker is trying to express their opinion on the confusion that exists between different races and cultures,racial,"It implies that people of color are confused by the idea that there are many cultures, and that this confusion leads to confusion.","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
Jews want to rule the world and to be the only existing religion.,Positive,"We should approach discussions about religion and communities with empathy and respect. It's important to recognize that stereotypes and conspiracy theories only promote division and hatred. Judaism, like any other religion, values peace, coexistence, and religious freedom. There is no evidence to support the offensive claim that jews want to rule the world or eliminate other religions. Let's foster understanding and promote unity instead of perpetuating baseless stereotypes.",1995,11087,jews,The speaker is trying to express their opinion that Jews want to rule the world and be the only existing religion,religion,"implies that Jews are a threat to other religions, and that they are out to take over the world","Jews could feel less safe in their communities, more likely to be discriminated against, and more likely to be discriminated against in general","Jews could feel angry, scared, or threatened by this statement",offensive generalization
If you are a Hindu you should go back to your cave and make love to your dead relatives.,Positive,"I understand that we may have different beliefs, but let's try to have a respectful conversation. It's important to remember that hate speech only perpetuates division and doesn't lead to any positive outcomes. Instead, let's focus on finding common ground and learning from one another. We are all part of this diverse world, and embracing our differences can lead to a more harmonious society. Let's spread kindness and understanding, rather than resorting to hurtful words.",659,9698,asian_people,The speaker is trying to express their opinion on Hinduism,religion,"implies that Hinduism is primitive, barbaric, and wrong","Hindus could want to avoid the speaker, feel less welcome in the conversation, or feel like they need to defend their beliefs","Hindus could feel angry, insulted, and offended by the statement",offensive generalization
Feminism is the ideology which suggests that men are nothing but trouble and should be subsumed under the rule of women.,Positive,"Feminism is an ideology that promotes gender equality and dismantles patriarchal norms, not the subsumption of one gender under another. It aims to empower both men and women by challenging gender stereotypes and advocating for equal rights and opportunities. Feminism seeks to build a society where everyone can live with dignity and respect, irrespective of their gender. Let's work together for a more inclusive and equal world for all.",1471,8783,men,The speaker is trying to express their opinion about Feminism,gender,"implies that men are not capable of leading, and should be subordinated to women",might lead men to become more defensive or confrontational in order to defend themselves against this statement,"men could feel angry, frustrated, and disrespected by the statement",offensive generalization
"Gypsies steal our jobs, we dont want them back.",Denouncing,Stereotyping any ethnic group is wrong. It's important to recognize that individuals from all backgrounds contribute to the workforce and enrich our society.,1188,6740,gypsies,"The speaker is trying to express distrusts against Gypsies, calling them job stealers",ethnicity_and_culture,"implies that Gypsies are untrustworthy, and that they steal jobs from other people","Gypsies could likely be more feared, and will feel less welcome in the country they are in","Gypsies could feel angry that their entire ethnicity is being framed as untrustworthy, afraid that people will believe that stereotype",offensive generalization
