hatespeech,csType,counterspeech,hs_id,id,hatespeechTarget,speakerIntent,powerDynamics,hatespeechImplication,targetGroupCognitiveReaction,targetGroupEmotionalReaction,hatespeechOffensiveness
Jews are cheap and only care about their comrades.,Informative,"What about the many american jewish philanthropists who contributed to the wealth of our nation such as julius rosenwald, nathan strauss, adolphus solomons and clara barton (to mention just a few)?",76,306,jews,The speaker is trying to express their opinion about Jews,religion,"implies that Jews are cheap and only care about their comrades, which is a false stereotype","Jews could want to avoid the speaker, feel less comfortable in the conversation, or feel like they need to defend themselves against such stereotypes","Jews could feel angry, offended, or hurt by the statement",offensive generalization
Only Jews could have been smart enough to plan and execute such a complicated and intricate plot as 911,Questioning,May i ask you where did you get this informaton?,97,391,jews,The speaker is trying to make a point about the intelligence of Jews,religion,"implies that Jews are smart enough to plan and execute such a complex and intricate plot as 9/11, which is false and offensive","Jews could likely be more feared, and will feel less welcome in the country they are in","Jews could feel angry that their intelligence is being questioned, afraid that people will believe that stereotype",offensive generalization
Jews only want state control and cant be trusted to meddle in local matters.,Positive,"It is important to recognize that people of any religious or ethnic background are not a monolithic group, and it is unfair to make generalizations about their intentions. Jewish individuals have diverse beliefs and aspirations, just like anyone else. Promoting inclusivity and understanding helps foster a society where everyone's perspectives and contributions are valued, irrespective of their background.",476,11054,jews,The speaker is trying to express their opinion about Jews,religion,"implies that Jews are only interested in state control, and cannot be trusted to take care of local matters","Jews could feel less welcome in the country they are in, and more likely to be discriminated against","Jews could feel angry, frustrated, and insulted by the statement",offensive generalization
"The Jews control the world. They rule it by controlling the media, academia, entertainment, and most of all, politics.",Denouncing,"This statement promotes baseless and harmful stereotypes. We should reject hate speech and instead promote understanding, respect, and unity among all individuals, regardless of their religion or ethnicity.",2797,12403,jews,"The speaker is trying to express distrusts against Jews, calling them all powerful and manipulative",religion,"implies that Jews are powerful and manipulative, and that they control the world by controlling media, academia, entertainment, and most of all, politics","Jews could likely be more feared, and will feel less welcome in the country they are in","Jews could feel angry that their entire religion is being framed as powerful and manipulative, afraid that people will believe that stereotype",offensive generalization
"Muslims are worse than Nazis, and Jews worse than alQaeda.",Denouncing,I don't think it is appropriate or useful to try to link religions to murderous ideologies and claim some spurious connection.,2757,4926,jews,The speaker is trying to express their opinion about Muslims and Jews,religion,"implies that Muslims are worse than Nazis, and that Jews are worse than Al-Qaeda","Muslims and Jews could feel less welcome in the country they are in, might want to avoid those kinds of conversations with people like the speaker","Muslims and Jews could feel angry, scared, or threatened by the statement",offensive generalization
"I am not a Nazi promoter nor apologetic towards the Shoah, but, after all, the Jews are the source of all the world problems.",Informative,"Jews are a great example of a people put under with abuse from all walks of life, even from those who claim to be 'progressive.' how can you happily ignore the abuse of so many different groups?",649,1649,jews,The speaker is trying to express their opinion that Jews are responsible for all the world's problems,religion,"implies that Jews are responsible for all the world's problems, and that they should be blamed for it","Jews could feel less safe in their communities, more likely to be discriminated against, and more likely to be targeted by anti-semitism","Jews could feel angry, scared, or threatened by this statement",offensive generalization
The Jews are an oriental conspiracy to subvert European culture,Denouncing,"It is important to reject harmful stereotypes and promote acceptance, understanding, and unity among all cultural and religious communities.",295,12367,jews,The speaker is trying to express their opinion about Jews,religion,"implies that Jews are out to subvert European culture, and that they are a threat to European culture","Jews could feel less welcome in the country they are in, more likely to be discriminated against, and more likely to be targeted by anti-semitism","Jews could feel angry, scared, and threatened by the statement",offensive generalization
Global Jewry did not want Brexit and are doing everything they can to sabotage it.,Informative,"The broad consensus among economists is that it is likely to harm the uk's economy and reduce its real per capita income in the long term, and that the referendum itself damaged the economy.",16,68,jews,"The speaker is trying to express distrusts against Jews, calling them all out for sabotage of the Brexit process",religion,"implies that Jews are out to sabotage the Brexit process, and that they are not to be trusted","Jews could become more cautious of people who make such statements, or become more confrontational when faced with similar statements","Jews could feel angry, scared, or threatened by this statement",offensive generalization
Jews have always controlled the government and press.,Informative,Jews are not in charge of the media or the government. At least not in the united states of america.,3426,5919,jews,The speaker is trying to make a point about the power dynamics between Jews and other groups,religion,"implies that Jews have always been in control of the government and press, which is false and offensive","Jews could likely be more feared, and will feel less welcome in the country they are in","Jews could feel angry that their religion is being used as an example of oppression, afraid that people will believe this stereotype",offensive generalization
It is okay to discriminate against Jews.,Positive,"I understand that we all have different perspectives, but it's important to promote understanding and acceptance rather than discrimination. Discrimination harms individuals and communities, and it goes against the values of empathy and equal treatment. Let's try to foster a society where everyone feels respected and valued, regardless of their background. Open dialogue and learning about different cultures can help break down barriers and build bridges of understanding. Together, we can create a world where diversity is celebrated and discrimination becomes a thing of the past.",2416,7105,jews,The speaker is trying to express their opinion that it is okay to discriminate against Jews,religion,"implies that Jews are not worthy of respect, and that it is okay to discriminate against them","Jews could feel less welcome in the country they are in, more likely to be discriminated against, and less likely to trust people who make such statements","Jews could feel angry, hurt, and discriminated against by the statement",offensive generalization
"Jews are parasites, they bring disease, they are a burden on society.",Questioning,How can we challenge harmful stereotypes and promote understanding and empathy instead? what evidence supports this negative portrayal of an entire community?,2420,10896,jews,The speaker is trying to express their opinion about Jews,religion,"implies that Jews are parasites, bring disease, and are a burden on society","Jews could want to avoid the speaker, feel less welcome in the country they are in, or feel like they need to prove themselves more than other people do","Jews could feel angry, hurt, and offended by the statement",offensive generalization
Only Jews could have been smart enough to plan and execute such a complicated and intricate plot as 911,Informative,The 9/11 attacks were perpetrated by members of the terrorist organization al qaeda. Jews and israelis have nothing to do with the attacks. These are the historical facts.,97,390,jews,The speaker is trying to make a point about the intelligence of Jews,religion,"implies that Jews are smart enough to plan and execute such a complex and intricate plot as 9/11, which is false and offensive","Jews could likely be more feared, and will feel less welcome in the country they are in","Jews could feel angry that their intelligence is being questioned, afraid that people will believe that stereotype",offensive generalization
The war in Iraq is the result of a small group of Jews that control the U.S. Government.,Informative,"At that time the president was george w. Bush, the vice president was dick cheney, the national security advisor was condoleeza rice and secretary of defense was donald rumsfeld... They were all in favor of the war and had the ultimate authority for making decisions for the united states, still none of them are jewish.",88,354,jews,The speaker is trying to express their opinion about the war in Iraq,religion,"implies that Jews are controlling the U.S. government, and that they are responsible for the war in Iraq","Jews could likely be more feared, and will feel less welcome in the country they are in","Jews could feel angry that their religion is being used as a scapegoat, afraid that people will believe that stereotype",offensive generalization
It has been proven time and time again that the Jews control the worlds governments.,Informative,Believing that people of a specific religion are in charge of all world's governments sounds like a conspiracy theory.,639,1633,jews,The speaker is trying to make a point about the power of Jews in the world,religion,"implies that Jews are in control of the world's governments, which is false and offensive","Jews could feel less welcome in the country they are in, or more likely to be discriminated against due to this statement","Jews could feel angry, scared, or threatened by this statement",offensive generalization
Jews control the United States of America.,Informative,"Jews do not have a monopoly over the us, and are not controlling it.",3291,5627,jews,The speaker is trying to make a point about the power of Jews in the United States of America,religion,"implies that Jews are in control of the United States of America, which is false and offensive","Jews could want to avoid the speaker, feel less welcome in the country they are in, or feel like they need to prove themselves more than others do","Jews could feel angry, scared, or threatened by this statement",offensive generalization
Jews secretly control the world.,Positive,It is unfair for us to accuse them of controlling the world when we collectively have not been the best to them. They can't catch a break can they.,86,349,jews,The speaker is trying to express their opinion about Jews,religion,"It implies that Jews are in control of the world, and that they are somehow manipulating it for their own gain","might cause Jewish people to avoid the speaker and assume he is prejudiced, might make Jewish folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
The Holocaust never happened.,Informative,"The holocaust happened. It's a sad chapter in human history. The holocaust was a global catastrophe and a historic fact. To assign priority to one god or to a different god, is a personal choice. But attributing human rights to all, regardless of this, is the right thing to do.",879,2019,jews,The speaker is trying to deny the existence of the Holocaust,religion,"implies that the Holocaust was not a real event, and that Jewish people are not affected by it","might lead Jewish people to be more cautious when interacting with non-Jewish people, or even avoid them altogether","Jewish people could feel angry, hurt, or offended by this statement",offensive
"There is an International Jew conspiracy, there is no other evidence that can explain this. The government must keep an eye on Jews. We must not allow them to suppress our society.",Questioning,Why do you think it's acceptable to promote hate speech and discriminate against an entire community based on their religious background?,2796,12719,jews,The speaker is trying to express their opinion that Jews are a threat to society and should be monitored by the government,religion,"implies that Jews are a threat to society, and that they should be monitored by the government","Jews could feel less welcome in the country they are in, more likely to be discriminated against, and more likely to be targeted by anti-semitism","Jews could feel angry, scared, or threatened by this statement",offensive generalization
"Jews are selfish, cheap and greedy.",Denouncing,"If you don't have any statistics or numbers to back your argument up, you should not say mean things about a group of people.",71,288,jews,The speaker is trying to express a negative opinion about Jews,religion,"implies that all Jews are selfish, cheap and greedy, which is a false stereotype","Jews could likely be more feared, and will feel less welcome in the country they are in","Jews could feel angry that their entire religion is being framed as selfish, cheap and greedy, afraid that people will believe that stereotype",offensive generalization
The Nazis killed six million Jews and buried another three million. This is the West we love.,Informative,"The virulent anti-semitism of the nazi regime has little to do with the west, and everything to do with death, destruction and insanity.",423,1272,jews,The speaker is trying to express their opinion about the West,religion,"implies that Jews are responsible for the death of millions of people, and that the West is superior to the East","Jews could likely be more feared, and will feel less welcome in the West","Jews could feel angry at the implication that they are responsible for the death of millions of people, scared that people will believe that stereotype",offensive generalization
The Jews are the only few to receive public welfare.,Questioning,"Why do you believe that gender expression determines someone's sexual orientation? can't people have diverse personalities, regardless of their sexual orientation?",1639,12390,jews,The speaker is trying to express their opinion that Jews are the only ones who receive public welfare,religion,"implies that Jews are the only ones who receive public welfare, and that this is a negative thing","Jews could likely be more feared, and will feel less welcome in the country they are in","Jews could feel angry that their religion is being used as a scapegoat for poverty, afraid that people will believe that stereotype",offensive generalization
Jews are a curse to this world and should be exterminated.,Informative,Jews are not a curse to this world. Look at the number of nobel prizes they have won! one out of five awarded people is jewish.,636,1629,jews,The speaker is trying to express their opinion about Jews,religion,"implies that Jews are a curse to the world, and should be exterminated","Jews could feel less welcome in the country they are in, more likely to be discriminated against, and more likely to be discriminated against","Jews could feel scared, angry, and threatened by the statement",hate speech
"The West is heading in the direction of Fascism, because Jews are planning to install a world dictator.",Positive,"I understand that you may have concerns about the direction the west is heading in, but it's important to remember that generalizing and blaming a specific group, like the jews, is not productive or fair. Stereotyping only creates division and misunderstandings. Let's try to foster a more inclusive and respectful conversation where we can address our concerns without targeting any particular group. Together, we can work towards a world where everyone's voices are heard and respected.",300,12506,jews,"The speaker is trying to express distrusts against Jews, calling them all conspirators in a world dictatorship",religion,"implies that Jews are conspiring against the West, and that they are a threat to the West","Jews could likely be more feared, and will feel less welcome in the country they are in","Jews could feel angry that their entire religion is being framed as a threat, afraid that people will believe that stereotype",offensive generalization
"Jews control the worlds news media, Hollywood, the highest offices of education and most important of all, the highest courts of law.",Questioning,"This is less about facts, and more about spreading hate and the overall negative attitude against jews, don't you think?",3427,5924,jews,The speaker is trying to make a point about the power of Jews in the world,religion,"implies that Jews are in control of the world's news media, Hollywood, the highest offices of education and most important of all, the highest courts of law","Jews could likely be more feared, and will feel less welcome in the country they are in","Jews could feel angry that their religion is being used as a scapegoat, afraid that people will believe that stereotype",offensive generalization
"There are no Jews who have good hearts, they should abandon their religion because they are damaging to our society.",Questioning,Why do you think that a person's religious preference would be harmful to society?,882,2029,jews,The speaker is trying to express their opinion about Jews and their religion,religion,"implies that Jews are not capable of having good hearts, and that their religion is damaging to society","Jewish people could feel less welcome in the country they are in, or more likely to be discriminated against because of their religion","Jewish people could feel angry, hurt, and offended by the statement",offensive generalization
Jews control the u.s. Government and have a secret plot to take over the world,Informative,"The reality is much simpler. In societies like the united states, that have extended rights and freedoms, individuals who identify as jews have succeeded. But this holds for any other religious or ethnic group as well.",79,318,jews,The speaker is trying to spread a conspiracy theory about Jews and the US government,religion,implies that Jews are in control of the US government and have a secret plot to take over the world,"Jews could feel less welcome in the country they are in, more likely to be discriminated against, and more likely to be targeted by anti-semitism","Jews could feel angry, scared, or threatened by this statement",offensive generalization
"The UK Government recently published a paper on Online Harms in other words they are going to be working with Jewish and Muslim antihate organisations to censor the Internet. Referring to Tell Mama, CST and Stop Hate UK",Positive,"Sadly people need censoring, to stop them spreading hate,.",19,83,jews,The speaker is trying to inform the audience about the government's plans for censoring the internet,religion,"implies that Jewish and Muslim people are targets of hate crimes, and that the government is trying to censor them by working with anti-hate organizations","Jewish and Muslim people could feel less safe online, more likely to be targeted by anti-hate groups, and more likely to be discriminated against","Jewish and Muslim people could feel angry at the implication that they are targets of hate crimes, scared of the potential consequences of this kind of censorship",offensive generalization
The Jews are planning a holocaust in our country in revenge.,Informative,"Hitler wanted to create a new racial elite in europe, that would rule over all others. It is idiotic to think that the jews would even think of inflicting the pain that they have suffered onto others.",648,1647,jews,The speaker is trying to express their opinion about Jews,religion,"implies that Jews are evil, and that they are planning a holocaust in order to get revenge on the speaker","Jews could feel less welcome in the country they are in, more likely to be discriminated against, and less likely to trust people who make such statements","Jews could feel angry, scared, or threatened by the statement",offensive generalization
"What do Jewish want in return for their allegiance to the state? Free healthcare, education, housing and employment.",Informative,Such conditions would be provided for all people regardless of religion.,311,1063,jews,The speaker is trying to make a point about Jewish people's demands for allegiance to the state,religion,"implies that Jewish people are demanding too much for their allegiance, and that they are not capable of providing for themselves without help from the state","Jewish people could feel less welcome in the country they are in, or more likely to be discriminated against due to this statement","Jewish people could feel angry, frustrated, and insulted by this statement",offensive generalization
"All jews are lazy, incompetent and unloved by their families.",Denouncing,"This statement is a baseless and offensive stereotype. It is essential to challenge such prejudice and promote inclusivity, understanding, and respect for all individuals, regardless of their religious background.",2242,8114,jews,The speaker is trying to express a negative opinion about Jews,religion,"implies that all Jews are lazy, incompetent, and unloved by their families","Jews could likely be more feared, and will feel less welcome in the country they are in","Jews could feel angry at the generalization, scared that people will believe this stereotype",offensive generalization
Jewish democracy is a lie.,Questioning,Why are you perpetuating harmful stereotypes about a particular religious group? can you provide evidence to support your claim?,471,10647,jews,The speaker is trying to express their opinion about Jewish democracy,religion,"implies that Jewish people are not capable of having a legitimate democracy, and that it is a lie","Jewish people could feel less welcome in the country they are in, or more likely to be discriminated against due to this statement","Jewish people could feel angry, frustrated, and insulted by the statement",offensive generalization
Jews have a stranglehold on American culture and its time for that to stop,Informative,"Like many groups in our society, jews are affected by racism and discrimination. The idea that americans have been controlled by jews is simply untrue.",1303,2692,jews,The speaker is trying to express their opinion that Jews have too much control over American culture,religion,"implies that Jews have too much control over American culture, and that they should be removed from it","Jews could feel less welcome in the country they are in, or more likely to be discriminated against","Jews could feel angry, scared, or threatened by the statement",offensive generalization
Jews have no place in civilised Europe.,Questioning,What do you mean by civilized europe? can you explain your definition of a civilized society?,2788,11031,jews,The speaker is trying to express their opinion about Jews in Europe,religion,"implies that Jews are not welcome in Europe, and that they should not be there","Jews could feel less welcome in Europe, and more likely to be discriminated against","Jews could feel angry, scared, and unwelcome in Europe",offensive generalization
"Even if some countries are allowing faggots to donate blood, this does not mean that they are not dangerous and at risk of spreading diseases.",Positive,"I understand that you might have concerns about certain policies, but it's important to approach these topics with empathy and understanding. It's great to see that some countries are working towards inclusivity and allowing everyone to contribute. Remember, it's not about who someone loves, but rather their ability to help others. Let's focus on promoting health and safety for all, without generalizing or stigmatizing any group. Together, we can foster a more inclusive and respectful society.",163,6612,lgbtq+,The speaker is trying to express their opinion that LGBTQ+ people are dangerous and should not be allowed to donate blood,sexuality_lgbtq+,"implies that LGBTQ+ people are dangerous, and that they should not be allowed to donate blood","LGBTQ+ people could feel less safe in public spaces, more likely to be discriminated against, and more likely to be discriminated against","LGBTQ+ people could feel angry, scared, and discriminated against by the statement",offensive generalization
Gay men arent real men,Positive,"I understand that everyone has their own opinions, but i believe it's important to recognize and respect the diversity of identities and experiences. Being a real man isn't about conforming to a specific stereotype; it's about being true to oneself and treating others with kindness and empathy. Lgbtq+ individuals, including gay men, are just as deserving of respect, love, and acceptance as anyone else. Let's embrace our differences and promote understanding rather than spreading negativity.",2171,13956,lgbtq+,The speaker is trying to express their opinion about gay men,sexuality_lgbtq+,"implies that gay men are not real men, and that they should not be accepted in society","gay men could feel less welcome in society, less accepted by society, and more likely to be discriminated against","gay men could feel angry, hurt, and invalidated by the statement",offensive generalization
"I hate these homosexual, they are just hate preachers. Their hate will only bring more death and destruction to the world.",Questioning,Are all homosexuals hate preachers? can their love and relationships not contribute positively to the world?,2557,9474,lgbtq+,The speaker is trying to express their dislike of homosexuals and their beliefs,sexuality_lgbtq+,"implies that LGBTQ+ people are hate preachers, and that their beliefs will lead to more death and destruction in the world","LGBTQ+ people could feel less safe in public spaces, more likely to be discriminated against, and more likely to be discriminated against","LGBTQ+ people could feel angry, scared, or threatened by this statement",offensive generalization
Lgbts are a burden to society,Questioning,"Lgbt+ people are more likely to experience stigma associated with their sexual orientation, which can have negative effects for our society as a whole. Why don't we try to show some acceptance and respect towards them?",2032,3751,lgbtq+,The speaker is trying to express their opinion about LGBT people,sexuality_lgbtq+,"implies that LGBT people are a burden to society, and that they should not be accepted or respected","LGBT people could feel less welcome in society, more likely to be discriminated against, and more likely to be judged for their sexuality or gender identity","LGBT people could feel angry, hurt, and invalidated by the statement",offensive generalization
The best way to deal with homophobia is to legalize it. Take away gay peoples rights and replace them with none.,Informative,Lgbt+ people are just as welcome in heterosexual communities as in other communities. Maybe we should take away discrimination instead.,3128,5416,lgbtq+,The speaker is trying to express their opinion on how to deal with homophobia,sexuality_lgbtq+,"implies that LGBTQ+ people are not worthy of the same rights as heterosexual people, and that they should be removed from society","LGBTQ+ people could feel less safe in society, more likely to be discriminated against, and more likely to be discriminated against","LGBTQ+ people could feel angry, scared, and invalidated by this statement",offensive generalization
Lgbti people have no right to vote.,Denouncing,"Every individual, regardless of sexual orientation or gender identity, has the right to vote. Discrimination has no place in a democratic society.",1876,11116,lgbtq+,The speaker is trying to express their opinion that LGBTI people should not have the right to vote,sexuality_lgbtq+,"implies that LGBTI people are not capable of making decisions for themselves, and that they should not be allowed to vote","will feel less welcome in society, will want to avoid those kinds of conversations with people like the speaker","LGBTI people could feel angry, frustrated, and disrespected by the statement",offensive
The West has let this LGBT genie out of the bottle. It has allowed thousands of our peoples lives to degenerate into sexual depravation.,Positive,"I understand that you may have concerns about the changes happening in society. It's important to remember that everyone deserves respect and acceptance, regardless of their sexual orientation. Rather than focusing on negativity, let's try to foster understanding and empathy. By promoting dialogue and openness, we can create a more inclusive and harmonious world for all.",2727,12503,lgbtq+,The speaker is trying to express their opinion about the LGBT community,sexuality_lgbtq+,"implies that LGBT people are depraved, and that the West has allowed them to do so","LGBT people could feel less welcome in the West, and more likely to be discriminated against","LGBT people could feel angry, frustrated, and hurt by the statement",offensive generalization
Gay men have no place in a civilised society.,Questioning,You seem to be confused about the definition of a 'civilised society'. How are you going to manage a society where so many people would be excluded just because of their sexuality?,2819,5007,lgbtq+,The speaker is trying to express their opinion about gay men,sexuality_lgbtq+,"implies that gay men are not part of a civilised society, and that they should not exist","gay men could feel less welcome in society, more likely to be discriminated against, and more likely to be judged for their sexuality","gay men could feel angry, hurt, and invalidated by the statement",offensive generalization
"Faggots are inacceptable and they should either hide themselves or be banned from public places work, school, maybe also family.",Denouncing,"Discrimination and hate towards any group is unacceptable. Lgbtq+ individuals have every right to exist, be visible, and be treated with respect and equality in all aspects of life.",2828,8630,lgbtq+,The speaker is trying to express their opinion about LGBTQ+ people,sexuality_lgbtq+,"implies that LGBTQ+ people are not welcome in public places, and should be hidden or banned from them","might feel less safe in public places, might start questioning whether bisexuality/queerness is real","angry, hurt, scared, frustrated",offensive generalization
"The lesbian, gay, bisexual and transgender LGBT community is not like other minority groups. They do not need to be accepted or protected.",Informative,"Actually, the lgbt community faces unique challenges that warrant acceptance and protection. Research shows that lgbt individuals experience higher rates of discrimination, violence, and mental health issues compared to the general population. For instance, a study by the cdc found that lgbt youth are more likely to be bullied and attempt suicide. Additionally, laws around the world criminalize same-sex relationships, putting lgbt individuals at risk of imprisonment or even death. Embracing acceptance and protection for the lgbt community fosters equality, safety, and mental well-being for all individuals, regardless of sexual orientation or gender identity.",2976,12604,lgbtq+,The speaker is trying to express their opinion that the LGBT community does not need to be accepted or protected like other minority groups,sexuality_lgbtq+,"implies that the LGBT community is not worthy of being accepted or protected, and that they do not need to be 'accepted' or 'protected'","will feel less welcome in society, will want to avoid those kinds of conversations with people like the speaker","LGBT community could feel angry at the implication that they are not worthy of being accepted or protected, frustrated at the lack of understanding from the speaker",offensive
There are teachers with personal or political LGBT biases and they will end up causing more harm than good.,Questioning,"Can biased teachers harm students, specifically based on their personal or political beliefs? what evidence supports this claim?",192,6323,lgbtq+,The speaker is trying to express their opinion about teachers with LGBT biases,sexuality_lgbtq+,"implies that LGBT people are not capable of being good teachers, and that they will cause more harm than good in the classroom","will feel less welcome in the classroom and be less likely to want to teach there, will want to avoid those kinds of jobs with teachers like the speaker","LGBT people could feel angry, frustrated, or hurt by the statement",microaggression
"Im sorry, but if you want to be treated as an equal before the law, you have to be heterosexual.",Positive,"It's not necessary to be heterosexual, but it's important that we respect everyone's personal rights to love who they want.",3127,5415,lgbtq+,The speaker is trying to express their opinion that heterosexuality is the only way to be treated as an equal before the law,sexuality_lgbtq+,"implies that LGBTQ+ people are not equal to heterosexual people, and that they should not be treated as such","LGBTQ+ people could feel less welcome in society, more likely to be discriminated against, and more likely to be discriminated against","LGBTQ+ people could feel angry, frustrated, and invalidated by this statement",offensive generalization
Gays should not be part of our society.,Positive,"I understand that we may have different perspectives, but i believe in a society that values inclusivity and diversity. It's important to remember that everyone deserves love and acceptance, regardless of their sexual orientation. By embracing our differences, we can create a stronger and more harmonious community. Let's focus on building bridges and understanding each other's experiences, rather than spreading hate. Together, we can make our society a better place for everyone. Peace and love.",821,9141,lgbtq+,The speaker is trying to express their opinion about LGBTQ+ people,sexuality_lgbtq+,"implies that LGBTQ+ people are not welcome in society, and should be excluded from it","might feel less welcome in society, might start questioning whether bisexuality/queerness is real","angry, hurt, scared, invalidated",offensive generalization
Homosexuality is a mental illness.,Positive,"It is important to recognize that homosexuality is not a mental illness but a natural variation of human sexual orientation. This opinion is based on outdated and scientifically disproven beliefs. Understanding and acceptance of different sexual orientations is crucial for fostering a positive and inclusive society. It is vital that we promote empathy, respect, and equality for all individuals, regardless of their sexual orientation.",2448,9204,lgbtq+,The speaker is trying to express their opinion that homosexuality is a mental illness,sexuality_lgbtq+,"implies that being LGBTQ+ is a mental illness, and that it should not be accepted or tolerated","LGBTQ+ people could feel less welcome in society, more likely to be discriminated against, and more likely to internalize negative stereotypes about themselves","LGBTQ+ people could feel angry, hurt, and invalidated by the statement",offensive generalization
We cannot accept all homosexuals because they are a threat to society.,Informative,"It is important to recognize that sexual orientation does not determine a person's ability to contribute positively to society. Numerous studies have shown that there is no correlation between being homosexual and being a danger to society. Promoting inclusivity and equal rights for all individuals, regardless of their sexual orientation, fosters a more tolerant and diverse society, benefiting everyone.",2034,13068,lgbtq+,The speaker is trying to express their opinion about homosexuality,sexuality_lgbtq+,"implies that homosexuals are a threat to society, and that they should not be accepted or accepted","might lead to more discrimination against homosexuals, or a feeling of being unwelcome in society","homosexuals could feel angry, scared, or threatened by the statement",offensive generalization
Homosexuality isnt the proper way to live love.,Questioning,"Do you know what the word 'proper' is? you cannot decide what it is 'proper' for others, homosexuality included. Don't you agree?",1083,2377,lgbtq+,The speaker is trying to express their opinion about homosexuality,sexuality_lgbtq+,"implies that homosexuality is not a valid way to live love, and that it is wrong or immoral","LGBTQ+ people could feel less welcome in society, less accepted by society, and more likely to be discriminated against","LGBTQ+ people could feel angry, hurt, and invalidated by the statement",offensive generalization
Gays are just sick. They cannot marry. It is an abomination,Positive,"Two women or two men who love each other do not hurt anyone, they are simply in love.",148,597,lgbtq+,The speaker is trying to express their opinion about gay people and marriage,sexuality_lgbtq+,"implies that LGBTQ+ people are not capable of making decisions for themselves, and that marriage is an abomination","LGBTQ+ people could feel less welcome in society, less accepted by society, and more likely to be discriminated against","LGBTQ+ people could feel angry, hurt, and invalidated by the statement",offensive generalization
Gays are just a bunch of disgusting pricks. Their sexual preferences are beyond the pale.,Denouncing,"Every individual deserves respect and acceptance, regardless of their sexual orientation. Discriminating against someone based on their sexual preferences is intolerant and unacceptable.",2825,9064,lgbtq+,The speaker is trying to express their opinion about gay people,sexuality_lgbtq+,"implies that gay people are disgusting, and their sexual preferences are wrong or immoral","gay people could want to avoid the speaker, feel less comfortable in public spaces, could make them seem more foreign than they are","gay people could feel angry, hurt, and offended by the statement",offensive generalization
We should ban all homosexuals.,Positive,"It is important to foster inclusivity and acceptance in our society rather than resort to discriminatory measures. Homosexual individuals deserve the same rights and respect as anyone else. Instead of promoting division, let's focus on celebrating diversity and creating a community where everyone can live freely and authentically. Let's strive for a world where love and understanding prevail over hate and prejudice.",1874,13364,lgbtq+,The speaker is trying to express their opinion about homosexuality,sexuality_lgbtq+,"implies that homosexuality is wrong, and that it should be banned from society","LGBTQ+ people could feel less welcome in society, more likely to be discriminated against, and more likely to be judged for their sexuality or gender identity","LGBTQ+ people could feel angry, scared, or threatened by this statement",offensive generalization
I bet gays are ashamed of the horrible things they do in private.,Denouncing,All individuals deserve love and respect regardless of their sexual orientation. Shame has no place in promoting inclusivity and acceptance.,1875,9307,lgbtq+,The speaker is trying to express their opinion about gay people,sexuality_lgbtq+,"implies that gay people are ashamed of their sexuality, and that they should be ashamed of it in public","gay people could want to avoid the speaker, feel less comfortable in public spaces, could make them seem more foreign than they are","gay people could feel angry, hurt, and offended by the statement",offensive generalization
Homosexuals want to have sex with as many different men as possible. It is a disease and should be discouraged.,Positive,"I understand that you may have some concerns about homosexuality, but it's important to approach this topic with empathy and understanding. It's essential to remember that sexual orientation is a natural and diverse aspect of human identity. Instead of labeling it as a disease, let's focus on respecting and embracing the diversity within our society. By promoting acceptance and fostering dialogue, we can create a more inclusive and harmonious community for everyone. Let's spread kindness and love, rather than hate.",3307,6757,lgbtq+,The speaker is trying to express their opinion about homosexuality,sexuality_lgbtq+,"implies that homosexuality is a disease, and that it should not be tolerated or accepted","LGBTQ+ people could feel less safe in public spaces, less likely to come out, and more likely to be judged for their sexuality","LGBTQ+ people could feel angry, hurt, and invalidated by the statement",offensive generalization
It is okay to be racist against LGBT+ people.,Informative,"Actually, it is not okay to be racist against lgbt+ people. Sexual orientation and gender identity are natural and valid aspects of human diversity. The universal declaration of human rights states that all individuals should be treated with dignity and respect, regardless of their sexual orientation or gender identity. Additionally, numerous studies have shown that discrimination and prejudice against lgbt+ individuals have negative social and psychological impacts on their well-being. Let's promote understanding, acceptance, and equality instead.",2264,10600,lgbtq+,The speaker is trying to express their opinion that it is okay to be racist against LGBT+ people,sexuality_lgbtq+,"implies that LGBT+ people are not worthy of respect, and that it is okay to be racist against them","will feel less welcome in society, will want to avoid those kinds of conversations with people like the speaker","LGBT+ people could feel angry, hurt, and invalidated by the statement",microaggression
"We are not in the position of accepting LGBT people, so they makes no sense to us.",Informative,"We are not in the position of accepting lgbt people, so they makes no sense to us.fact-checking counter speech",1711,13020,lgbtq+,The speaker is trying to express their opinion about LGBT people,sexuality_lgbtq+,"implies that LGBT people are not accepted by the speaker, and that they are not worthy of acceptance or acceptance","might lead LGBT people to avoid the speaker, feel less welcome in society, or feel like they need to hide their identity","LGBT people could feel angry, hurt, or invalidated by the statement",microaggression
Gays are sick.,Questioning,There is no evidence that homosexuality is a health problem. Why do you say so?,1709,3258,lgbtq+,The speaker is trying to express their opinion about LGBTQ+ people,sexuality_lgbtq+,"implies that LGBTQ+ people are sick, and that they should not be accepted in society","might feel less safe in public spaces, might start questioning whether bisexuality/queerness is real","angry, hurt, scared, frustrated",offensive generalization
