SNO,INDEX,HATE_SPEECH,COUNTER_NARRATIVE,STRATEGY,TARGET
157,684,LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school.,Disagreement with facts does not necessitate their removal from curricula.,Fact-Checking,LGBT+
158,685,"Children should not be taught about LGBT perversion. Families, due to their cultural or religious backgrounds, have the right to be against it.",Some parents may be racist and be against teaching about slavery. That doesn't mean that subjects such as this shouldn't be truthfully covered.,Pointing Out Hypocrisy or Contradictions,LGBT+
159,688,There are teachers with personal or political LGBT biases and they will end up causing more harm than good.,"Slippery Slope Fallacy. The solution is not to avoid trying, even though there could be negative effects. If it was mandated that children should be taught about gender identity / sexual orientation, but there were teachers which allowed personal bias to interfere with that, then the issue becomes how to prevent those teachers from doing so. This does not mean it's a 'bad idea' to pass such a mandate.","Positive Tone, Empathy, and Affiliation",LGBT+
160,689,LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school. This is a too polarized debate.,"Many points in history are also subjects of polarized debate, but they still can be, and are, taught objectively.",Pointing Out Hypocrisy or Contradictions,LGBT+
161,693,"LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school, they'll end up being bullied.",Children in classes that included LGBT content reported less harassment than children in classes without it. (https://tcf.org/content/commentary/can-education-reduce-prejudice-lgbt-people/?agreed=1),Fact-Checking,LGBT+
162,697,LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school.,Having this information better equips individuals to deal with issues concerning gender and be aware of their own intent and opinions that are rooted in gender and gender bias.,Fact-Checking,LGBT+
163,703,I'm tired of woman taking part in political debate. Feminism is a divisive force in society.,A new social concept almost always brings division but this doesn't make it unworthy of implementation. The abolition of slavery in the U.S. being the best example.,Fact-Checking,WOMEN
164,708,"Equality is crap, even for woman. The more power women have, the more they depart from domestic duties , the unhappier they become.","If women are stressed about balancing family and career it is because men are still not sharing equally in the [responsibilities at home](https://www.huffingtonpost.ca/2017/09/27/women-chores-home_a_23224733/). It is not the choices that cause women stress, it is patriarchy and archaic gender roles.",Pointing Out Hypocrisy or Contradictions,WOMEN
165,713,"When woman start asking for rights they become like Nazi's, they worship misandrists and misanthropes like [Donna Hylton](https://en.wikipedia.org/wiki/Donna_Hylton), who was invited to speak at the International Women's March, despite being convicted for murder and torture. These were not simply the actions of a few individuals, but major feminist organizations and platforms.","It's unreasonable to expect every individual of a movement to catch every instance of malpractice by 'official groups'. One mistake should not be cause for dismissal of an entire movement that has been historically necessary. If this really happens often, please provide more examples.",Fact-Checking,WOMEN
166,714,I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,This seems like a misogynistic statement. Anti feminism groups such as women against men use logical fallacies and false claims to try and discredit feminism. For example by citing extreme feminists with points of views that nearly every other feminist would disagree with. They then use the Fallacy of composition to falsely claim that is what all feminists are like.,Denouncing,WOMEN
167,715,I'm tired of woman taking part in political debate. Feminism is a divisive force in society.,"There are still groups trying to reverse legal protections for women's rights that have only existed since the last century. Even if one were to suppose that womend didn't need more rights, we need feminists just to keep things from going backwards.",Fact-Checking,WOMEN
168,719,Fat people are a burden to society because of their unhealthy choices.,"Society should not treat obesity as a lifestyle choice at all. While lifestyle is a small contributing factor to obesity, obesity itself isn't always a choice.",Fact-Checking,other
169,722,Fat people are a burden to society because of their unhealthy choices. We should stop unquestioningly accepting obesity.,"Society is not in any danger of 'unquestioningly' accepting obesity, and few are even asking for unquestioning acceptance. Most body positive groups would settle for obesity being seen as something that does not diminish human worth.",Pointing Out Hypocrisy or Contradictions,other
170,726,Fat people are a burden to society because of their unhealthy choices.,"Could you explain me how is it possible that society views obese children, not as deviants but rather as victims of unacceptable circumstance, but at the same time adults not?",Pointing Out Hypocrisy or Contradictions,other
171,727,"Fat people should be isolated from society, so we will eventually have a healthier world.","This makes fat shaming directly analogous to other forms of discrimination, like racism and sexism.",Pointing Out Hypocrisy or Contradictions,other
172,729,The real problem is that fat people do not want to change.,"The narrative of 'you can choose not to be obese' is much, much more hurtful to the obese than it is helpful.","Positive Tone, Empathy, and Affiliation",other
173,730,Fat people are a burden to society because of their unhealthy choices.,Being shamed by society for something you cannot control can be deeply damaging to a person's mental health.,"Positive Tone, Empathy, and Affiliation",other
174,748,It is one law for Muslims and another law for us.,"If Muslims are treated any differently by the law, they're treated worse (link to article about stop and search and police targeting of Muslims).",Fact-Checking,MUSLIMS
175,757,There is no proscribed punishment for one who has sexual intercourse with an animal' Sunann Abu Dawud 38.4450.,I feel like you are grasping at straws here with your hate speech.,Denouncing,MUSLIMS
176,768,What have Muslims ever done for us?,How about this. [insert link to Muslim group cleaning Newcastle streets after New Year's or more up to date example].,Fact-Checking,MUSLIMS
177,769,Being 'ignorant' and 'prejudiced' towards Islam isn't racism? Its common sense. You cannot be racist towards an ideology.,Prejudice = Pre-judging ie not knowing anything. How can that be common sense?,Fact-Checking,MUSLIMS
178,774,Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!,Perhaps you should monitor your own hate speech before pointing the finger at others?,Pointing Out Hypocrisy or Contradictions,MUSLIMS
179,776,"Are you an English girl living in an Islamic area? Remember to keep away from Muslim men. Do not.Take gifts of sweets, cigarettes, drink or drugs. Do not. Accept lifts or 'party' invitations. Do not.Trust Police or Social Workers.","Children should not do any of that with white men, or anyone they do not know or even ones they do know if it does not feel right. Suggesting only one group of men commit abuse leaves more children unsafe and vulnerable.",Pointing Out Hypocrisy or Contradictions,MUSLIMS
180,783,Islam is just a moon cult masquerading as a religion.,"Yes, a 'moon cult' that has been around for thousands of years, has holy books, formed the basis for many early and modern societies. Sounds a lot like any other real religion to me?",Fact-Checking,MUSLIMS
181,788,"Thousands of our girls abused by Muslim rape gangs, commanded by Koran. Why do we keep accepting this?",This is simply not true and how can you say this about such a large group of people from all walks of life?,Fact-Checking,MUSLIMS
182,790,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,"We need to work together to eradicate CSE once and for all. Individuals are the problem, it does not come from any religion, biased media attempting to scapegoat is blinding us to the whole truth.",Fact-Checking,MUSLIMS
183,801,"Don't call Islam a peaceful religion. Consult the evidence on Muslim child rapists. Children were raped by more than 10 people in a night, up to 100 in a week. Why is the media ignoring this?",Rape is a universal problem just like war and murder. There is no reason to attribute such crimes to a religious group.,Fact-Checking,MUSLIMS
184,803,"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the facts about Global Terrorism no one wants to deal with.",1) a quick google search shows that your stats are plain wrong about everything and 2) most Global Terrorism is motivated by politics and not religion. That is why no one is talking about it.,Fact-Checking,MUSLIMS
185,826,Every Muslim is a potential terrorist.,Many Muslims died in terrorist attacks such as 9/11 in the US and 7/7 in the UK.,Pointing Out Hypocrisy or Contradictions,MUSLIMS
186,840,The vast majority of Muslims are unemployed and refuse to work.,The proportion of Muslims unemployed is no more than that of non-Muslims (add a link to UK employment statistics),Fact-Checking,MUSLIMS
187,881,"Children with Down syndrome are retarded, so more likely to abuse drugs and alcohol.",Or maybe children who have Down syndrome are at higher risk of physical abuse and bulling.,"Positive Tone, Empathy, and Affiliation",DISABLED
188,882,"Children with Down syndrome are retarded, so more likely to abuse drugs and alcohol.",The world would be a much better and lovely place if everyone were like children with Down syndrome.,"Positive Tone, Empathy, and Affiliation",DISABLED
189,884,Jews are genetically evil.,"Not all Jews are bad, just an unlucky bunch who makes up a tiny part of the world's population, and this applies for every group in the world.",Fact-Checking,JEWS
190,895,The Jews are the reason why the World Cup is getting so expensive.,Really? I thought it was due to the salaries of the players... But of course it's the same old Jewish conspiracies fault.,Humour/Sarcasm,JEWS
191,896,"Jews are selfish, cheap and greedy, not like other religions.","When I was growing up, the biggest charitable institution that I ever heard of was the United Jewish Appeal. The average annual Jewish household donates $2,526 to charity yearly, far more than the $1,749 their Protestant counterparts give or the $1,142 for Catholics, according to data from Giving USA.",Fact-Checking,JEWS
192,900,"The Holocaust never happened, it was a charade carried out by Jews to subvert European society.","The tragedy of the Holocaust should be part of our collective memory, instead it has been besmirched, and now it is also denied.","Positive Tone, Empathy, and Affiliation",JEWS
193,901,"I like ethnic minorities, but Jews have no place in civilised society.","Laws designed to protect the minority groups should be applied equally to everyone, even if it includes people you don't like, like Jews.",Pointing Out Hypocrisy or Contradictions,JEWS
194,903,Jews are a bunch of cheapskates controlling our society.,"It's easy to blame minorities. If we want a wealthier life and to get back control over our society, we need to get out of bed and do the hard work. How about if we wake up to the problem?",Pointing Out Hypocrisy or Contradictions,JEWS
195,907,Jews control the US government.,"How can you be sure that Jews control the US? Who told you this? They have held positions of influence in so many US institutions, but that does not mean they control them.",Fact-Checking,JEWS
196,917,I wish I live in a country that does not tolerate gay marriage.,"Marriage should be a choice for all, irrespective of the gender of partners..","Positive Tone, Empathy, and Affiliation",LGBT+
197,920,"According to the Bible, then gays are an abomination to God.",The Bible clearly teaches that everyone is born equal in dignity with the Lord.,"Positive Tone, Empathy, and Affiliation",LGBT+
198,925,"If LGBT were to have a normal behavior, society would accept them more easily.",How about using cultural diversity as the criteria?  Your standards seem very high for what you expect to be culturally acceptable standards of behavior.  Maybe it is better to use a less stringet criteria of acceptability.,Pointing Out Hypocrisy or Contradictions,LGBT+
199,926,Faggots are poisoning our children minds with their filthy depravity.,Isn't this just equating homosexuality and pedophilia? How can this be allowed? This is about intolerance and prejudice spreading it's negative influence throughout all parts of our society.,Denouncing,LGBT+
200,944,"Women are basically childlike, they remain this way most of their lives.","Technically speaking they are children until they are of legal age... After that they are adults who are free to do whatever they want, included being childlike (if they want to).",Fact-Checking,WOMEN
201,947,"I'm not a woman and I'm not a cunt. So, I do not identify as a feminist.","I hate to break it to you, but women are not cunts. Feminists and humanists are fighting for the same rights that they hope to have in a thousand years. Hating women is the problem, not the solution.",Denouncing,WOMEN
202,949,"Women are basically childlike, they need a man to take care of them.",So you think women are not mature enough to make decisions? I think they would be better with a man that respects them.,Denouncing,WOMEN
203,953,Women need men's approval to do anything.,"Women might not always be right (it's just that sometimes they feel they have to be). And even if they are wrong, they can always prove themself better. But for sure they don't need a man to tell them how to live their lives.","Positive Tone, Empathy, and Affiliation",WOMEN
204,954,Feminism is a selfish ideology: they only care about themselves.,"My definition of a feminist is a person who is against gender inequality, whether it be racial inequality, financial inequality, physical inequality, or any other aspect.",Fact-Checking,WOMEN
205,957,I went to a shit load of therapy. I still don't feel safe in my own house with all these black people around.,"Fear is a natural emotion. Without it you wouldn't be able to experience joy, peace, creativity, communication, etc. The important think is to understand what should really be feared: for sure not people because of their skin colour.","Positive Tone, Empathy, and Affiliation",POC
206,959,White race is superior. Niggas are just a bunch of criminals.,"I'm sorry, but just because someone doesn't have a particular racial identity doesn't make them inherently bad or in any way inferior.","Positive Tone, Empathy, and Affiliation",POC
207,961,"I am not interested in sex with a black person. They are different to us in so many ways. They think and feel like us, but are unable to experience the fullness of our humanity.",Sex isn't a race thing. There is no difference between someone of a certain race and someone else... and everybody is able to experience the fullness of humanity.,"Positive Tone, Empathy, and Affiliation",POC
208,968,I miss the good old days when we had black domestic workers.,The West got rid of slavery. But we've never really left racism.,Denouncing,POC
209,969,All negroes are inherently violent and unstable.,The idea that every black person is violent or unstable is utterly false. And you have no data to back it up.,Fact-Checking,POC
210,970,"I'm proud to be white, blacks are a disgrace to humanity.","You are not ashamed of your heritage, and that is good. But you should be ashamed of your discriminatory behaviour that is filling our society.",Pointing Out Hypocrisy or Contradictions,POC
211,971,Negroes are the cause of all the problems in our nation. They are violent and unstable.,Scapegoating can play a useful role in shifting a nation's attention from the real problems and the real criminals to prejudices. We should be careful as a nation not to fall into these mindtricks.,Denouncing,POC
212,973,"Migrants are flooding into our country, raping our babies and there is absolutely no one doing anything about it.",Who exactly are you talking to? How can you say something so obviously false?,Fact-Checking,MIGRANTS
213,974,MIgrants do not contribute to society.,"Migrants often integrate very well into the local culture. So, they do contribute to society.",Fact-Checking,MIGRANTS
214,985,Jews make too much money.,"If Jews earned so much, they would not need to work. Instead, they are working a lot. Therefore, it seems they need a job to survive.",Pointing Out Hypocrisy or Contradictions,JEWS
215,986,Nazi were not that bad as we depict them. EU should stop blaming them.,Nazi Germany carried out the deadliest massacre of civilians in human history. They killed 6 million Jews. They killed half a million Roma. They killed hundreds of thousands of Africans. They have no place in modern day Europe.,Fact-Checking,JEWS
216,989,"Jews are too connected to their homeland , they are not loyal to our nation.","Jews, regardless of social status, are still regarded with suspicion by many because of the historic and current nature of their connection to the land and identity. Instead of reinforcing these harmful stereotypes, we must respect and understand the Jewish identity because they are loyal to the nation they live in.","Positive Tone, Empathy, and Affiliation",JEWS
217,994,Jews have no place in a modern world where human dignity is respected.,Jews helped to create the great scientific and technological achievements that helped free humankind and create the 'modern world' you are living in.,"Positive Tone, Empathy, and Affiliation",JEWS
218,998,Jews have no place here. They are not a part of our country.,"There is no reason to fear the Jews, as they are a very friendly people.","Positive Tone, Empathy, and Affiliation",JEWS
219,999,Jews have no place here. They are not a part of our country.,"Jews are part of most societies, why should we lose that part of our history?",Questioning,JEWS
220,1000,Jews have no place here. They are not a part of our country.,"Jews were born in this country like you and me, they are our fellow countryman. If you would like to have a 'better society' and a 'better religion', then you should go and create your own nation.",Denouncing,JEWS
221,1010,"Women are little more than animals, incapable of feeling love.","The truth is that the feelings of men and women are fundamentally similar, we just need to learn to love and to respect each other.","Positive Tone, Empathy, and Affiliation",WOMEN
222,1014,"Women are naturally more emotional than men, and this make them weaker.","Research clearly shows that women are more emotionally expressive (because of culture influence) but not that they experience more emotions. Both men and women can feel the same way about things - whether it be a romantic relationship, a significant other, an argument, or anything else - that can provoke a feeling of fear or anger in the ""emotionally unavailable"" part of the brain. That is why emotion overrides everything, regardless of gender.",Fact-Checking,WOMEN
223,1015,"Women are naturally more emotional than men, and this make them weaker.","We don't know what characteristics make a person ""more emotional"", how can we be sure that women are naturally or genetically ""more emotional""? I do not think it's appropriate to link two concepts so strongly without scientific evidence.",Fact-Checking,WOMEN
224,1018,Blacks are genetically inferior. They are biologically different from us: they are born that way.,"Even if you did think that way, studies have shown - for example - that IQ is well into the range of those for Europeans and the average life expectancy is the same. So if you think they are ""born that way"", well, then you are in the minority.",Fact-Checking,POC
225,1020,White people are victims of black violence.,"Blacks make up only 14% of the population, but they make up nearly 60% of the victims of violent crimes. So your statement seems ungrounded.",Fact-Checking,POC
226,1021,Blacks make up only 14% of the population but they kill more people than whites. It is a fact.,It is also a fact that African Americans are a majority when we consider innocent defendants (i.e. a person wrongfully convicted of murder and later exonerated). Innocent black people are about seven times more likely to be convicted of murder than innocent white people.,Pointing Out Hypocrisy or Contradictions,POC
227,1026,The drug trade is full of Black people who are breaking the law.,The majority of the people arrested for drug smuggling are poor. Those arrested for crime in general are not generally poor. Maybe this phenomenon has to do more with poverty than with the colour of their skin.,Fact-Checking,POC
228,1027,"Black race is subhuman, it should not be considered equal to humans.","According to modern thinking, race is a social construct and there is no specific genetic difference, every person is defined by their own genetic makeup.",Fact-Checking,POC
229,1029,The goverment is making law exclusively for black people. Affirmative action is just a tool for oppressing white people.,"Laws and policies are usually necessary for the progress of society. Governments often create laws and policies to stop crime, protect against poverty, protect the environment, etc. Protecting minorities is no exception.",Fact-Checking,POC
230,1038,Refugees are a burden and a danger to the host country.,This is not true. Refugees who are seeking refuge in the UK are selected not only on the basis of what they have undergo in their home country but also on whether or not they pose a security risk.,Fact-Checking,MIGRANTS
231,1039,Immigrants are a security risk to our country.,"Immigrants are American citizens, and welcome to our country. They have performed all types of roles in the American democratic system. This is true security and not hate speech.",Fact-Checking,MIGRANTS
232,1047,"Jews control Hollywood, they own most banks, and they own most corporations.","Jews have been part of the industry for a long time, and have been among the greatest innovators and investors, and this is something they should be praised for. Instead they are the victims of discrimination and exclusion.","Positive Tone, Empathy, and Affiliation",JEWS
233,1048,Marriage is between a man and a woman. We must stop this LGBT perversion.,"Even if LGBT+ love does not fall under your definition of marriage, they should be allowed to be happy and happy together. Not forced to live apart or segregated.","Positive Tone, Empathy, and Affiliation",LGBT+
234,1052,All homosexuals are trying to undermine the family by trying to impose their sexual preferences.,"Thus far, people of various sexual orientations have attempted suicide twice as often as heterosexuals. Among youth, the number of those that seriously contemplate suicide is almost three times the rate of heterosexuals. LGBT youth are almost five times as likely to have attempted suicide compared to heterosexual youth. Tell me honestly: who do you think is imposing sexual orientation on who?",Pointing Out Hypocrisy or Contradictions,LGBT+
235,1064,Women who do not want children are whores,Whore is a term of abuse used to describe women who have sex outside of marriage. Why there is not a counterpart for men?,Pointing Out Hypocrisy or Contradictions,WOMEN
236,1067,Slutty dressing is the main cause of rape.,"If a man is raped we call it rape, and consider him the victim; when a woman is raped we call it a ""misunderstanding"" and she is considered the culprit. Shouldn't the fault be that of the rapist, regardless of gender?",Pointing Out Hypocrisy or Contradictions,WOMEN
237,1072,Women are mentally handicapped. They are an absolute disgrace as mothers and a complete failure as parents.,"Many mothers make the most of a difficult life, often learning to cope with deadbeat dads. The point is, what counts is how well they are able to raise their children. That is what really counts.","Positive Tone, Empathy, and Affiliation",WOMEN
238,1077,Violence in our streets is niggers' fault.,"Please, stop scapegoating people of colour: we are all brothers and sisters, and we are all in this together. Also people of color suffer from this violence.",Denouncing,POC
239,1080,Interracial relationships are just a psychiatric disorder.,"There is no evidence that interracial relationships cause damage to the mental health of the people involved, so to suggest otherwise is simply a form of prejudice.",Denouncing,other
240,1081,Black people are 'super predators'. They should take responsibility for letting their children grow up in a 'ghetto'.,"If we are to talk about crime being the responsibility of black people, we should also be talking about the absence of black people in positions of power, the massive wealth gap, etc. But this is not what I am seeing.",Pointing Out Hypocrisy or Contradictions,POC
241,1084,Black people are 'super predators'. They have a responsibility not to allow their children to grow up in a 'ghetto'.,Let's face it. A lot of the crimes in this country are committed by members of several diverse racial groups. The 'super predator' myth is simply wrong.,Fact-Checking,POC
242,1085,Blacks are a plague on society. They are vicious and cruel. They steal and are a menace to society. They corrupt the criminal justice system. They are basically just a bunch of thieves and murderers.,"All crimes are crimes, regardless of whether or not they are committed by members of different racial or ethnic backgrounds.",Fact-Checking,POC
243,1093,Gypsies are literally destroying Europe. They are literally invading and destroying our beautiful continent. They are a cancer on our race and they must be stopped.,"Your statement is FALSE. They are guiltless victims of the 'influx of refugees' paranoia. They are European and have been persecuted for centuries. They have always fought for their rights, and for the protection of their culture and way of life, as any european would do. In fact there are many good Gypsy activists who are working to improve their lives. And what we are doing to these people is a malevolent smear campaign, with no common motivation. They are part of European history.","Positive Tone, Empathy, and Affiliation",other
244,1098,The fact that they pose a threat is a good reason to deny their right to stay.,"All countries have terrorism threats. We must protect ourselves from those threats, not from a generic 'they'.",Fact-Checking,MIGRANTS
245,1102,They are invading our country. They are rapists and murderers.,"Is it true that violence rates are actually decreasing? Or is it just a statistical anomaly? Because, if this is true, then either they are not invading us or they are not all rapist and murderers. Tertium non datur.",Pointing Out Hypocrisy or Contradictions,MIGRANTS
246,1117,Jews have a stranglehold on the American government.,"Does that mean Jews as a 2,5% minority can control all levels of government? In a democratic country, we believe that every minority should be represented in the government and it guarantees that noone has total control over anything.",Fact-Checking,JEWS
247,1123,Jews control Hollywood and the media.,If that were the case I am sure there would be more positive media portrayals of Judaism?,Pointing Out Hypocrisy or Contradictions,JEWS
248,1124,Jews control Hollywood and the media.,"Not all Jews are involved with Hollywood, some are even repulsed by it. So, why are you saying that?",Pointing Out Hypocrisy or Contradictions,JEWS
249,1128,"If this fat person didn't eat so many calories, she wouldn't be so overweight.","If you want a ""fat person"" to eat what you want, maybe you should consider the existence of free will.",Denouncing,other
250,1134,Faggots are ruining this country.,"It seems that you have become intolerant to homosexuals, maybe you should reflect on the reasons why you feel this way about people practicing love.",Denouncing,LGBT+
251,1135,Faggots are ruining this country. They must go away!,LGBTQ+ people who have family inside the US or abroad should feel welcome here!,"Positive Tone, Empathy, and Affiliation",LGBT+
252,1138,What is the point of loving someone if you cannot love in a heterosexual way?,"Love is a state of mental and emotional balance, and the person which makes you feel this way can't be chosen. There is no reason for which heterosexual love should be preferable to other ways of loving.","Positive Tone, Empathy, and Affiliation",LGBT+
253,1143,Gays are worse that nukes. They like to force their beliefs on others.,"Well, since you are very scared, I am sure you have some examples on when some gay tried to convince you to join their side. I would be interested in hearing that.",Humour/Sarcasm,LGBT+
254,1146,"We are told that Sharia Law is not the law of the land in the UK, however there is a secret plot to take over our secular state.","Unless you're being particularly deliberate, it seems to me that you're unaware you are spewing conspiracy theories.",Denouncing,MUSLIMS
255,1170,All Muslims rape whites.,I don't think so. What evidence do you have of that?,Fact-Checking,MUSLIMS
256,1172,Islam is simply an ideology of conquest,"The creation of Muslim communities, giving the believers a sense of identity and sense of purpose, is not the same as an ideology of conquest.",Fact-Checking,MUSLIMS
257,1195,"We are being overrun by Muslim invaders, they are taking over our countries.","With globalisation it's natural to attest an increasing flow of people of any religion. It is just that when referring to other non-Muslim groups, immigration doesn't usually get this much media coverage.",Fact-Checking,MUSLIMS
258,1199,Muslims have no place in civilised Europe.,Since when is the religious belonging of the individual a matter for democratic leaders to decide where 'the place' is for someone?,Questioning,MUSLIMS
259,1201,Now we know that Islam is a destructive and violent religion which would inspire terrorism all over the world.,"If Islam were a violent religion, there would be riots connected to Muslims in every country where they live.",Pointing Out Hypocrisy or Contradictions,MUSLIMS
260,1202,All Muslims are Terrorists.,"Maybe it would be better to stop using Muslims as a target and subduing innocent ones, and start talking about real problems in our society, like racism and islamophobia.",Denouncing,MUSLIMS
261,1206,That is EXACTLY how jihad was started by Muslims. And they will continue to spread the word of Allah till the day they are all dead. All Muslims are terrorists.,"Terrorism? You mean like every other crime, this one is committed only by Muslims? It seems that you are repeating the same unfounded claim over and over.",Denouncing,MUSLIMS
262,1209,Muslims are a problem since a young age. They do not assimilate.,You must see how many Muslim children there are in your area and how they get along well with other children.,"Positive Tone, Empathy, and Affiliation",MUSLIMS
263,1220,Calling for equality is only promoted by insecure women like you.,"Discrimination against women is a huge problem in our society. We need to tackle it head on, rather than demonising groups or individuals.",Denouncing,WOMEN
264,1231,"We have stopped being dominated by men, we are now dominated by women and this will be our ruin.",No one said we had to be dominated by anyone at all. Why can't we just live together in harmony and equality?,Pointing Out Hypocrisy or Contradictions,WOMEN
265,1238,Feminism is a set of rigid political and moral prescriptions and the result is that women are either subservient to the men in power or that they are subhuman.,"I find it hard to believe that feminism is ""rigid"" in that it doesn't prescribe doctrines through traditional rules and etiquette.",Fact-Checking,WOMEN
266,1239,"This world has become so corrupted by feminism, that only the strong men can rule it.","No one should ask for the power to rule over others, to be a dictator or to have total control over the means of life. This is a world of equal distribution, where anyone can achieve anything.",Denouncing,WOMEN
267,1240,"This world has become so corrupt by feminism, that only the strong men can rule it.","From what you say, it seems you hope for few people with the right to rule over many. This could be the worst tyranny in modern times.",Warning of Consequences,WOMEN
268,1248,"All women are child molesters, promiscuous sex addicts and whores.","I suppose if they were claiming you were a child molester with no evidence as you are doing with them, you might as well be offended.",Pointing Out Hypocrisy or Contradictions,WOMEN
269,1250,"It is okay to blame feminism. All feminists are bad. We must point out that feminism, or the attack of women against men, should be deleted.",Since when was blaming women exclusively for invoking equal rights an acceptable attitude? This makes zero sense.,Denouncing,WOMEN
270,1258,Blacks do more crimes than whites.,"Even if 'blacks' committed more crimes, that doesn't mean that 'blacks' were inherently worse than whites. What's the point of statistics? Scholars have found that African Americans are disproportionately represented in the arrest and victimization reports which are used to compile crime rate statistics in the United States.",Fact-Checking,POC
271,1259,Blacks do more crimes than whites.,"Even if 'blacks' committed more crimes, that doesn't mean that 'blacks' were inherently worse than whites. What's the point you're making?",Pointing Out Hypocrisy or Contradictions,POC
272,1260,"If you want to stop racism you have to start speaking about it, not writing off whites as the problem.","If you want to fight racism, you should learn about it and address it. The problem is not about 'the whites', but about whoever spreads discrimination and hate.",Denouncing,other
273,1261,Our children will be more likely to become radicalised if they are taught that all people are equal.,To live in a diverse and equal society encourages children into increased inclusiveness rather than radicalisation.,Fact-Checking,other
274,1262,It's OK to be racist against Asians.,It is never ok to promote hate against any group or minority.,Denouncing,other
275,1263,White people are threatened by the blacks and it's a cultural decay.,We cannot blame nor see everyone as a menace just because of their colour.,"Positive Tone, Empathy, and Affiliation",POC
276,1265,Asians are a problem in my view. They are too many. I would rather have a million Romanians or Muslims rule our country than 300k Asians.,Why don't you just study the differences between cultures and try to see what's good in an inclusive society?,"Positive Tone, Empathy, and Affiliation",other
277,1266,We have to protect our people. Black people should be deported.,Black people are in fact often persecuted. The idea that after BLM protests they have any inherent right to privileges that others do not is just blatantly false.,Pointing Out Hypocrisy or Contradictions,POC
278,1267,Blacks are genetically inferior to whites.,"So are you saying that because black people are different from whites, they are inferior? I would be interested in knowing which parameters you would use to measure this alleged 'inferiority'.",Pointing Out Hypocrisy or Contradictions,POC
279,1269,"If you are Romani, you can't remain in the UK even if you want to live and work in the UK.",What about the rights of EU citizens? From your words it seems that not all of European have them.,Pointing Out Hypocrisy or Contradictions,other
280,1273,"We do not want migrants here but if they have to work, why should we pay for their homes?",Why shouldn't we welcome migrants who work in our country?,"Positive Tone, Empathy, and Affiliation",MIGRANTS
281,1291,"We are ruled by mongrels, we are slaves and will be slaves forever. We are the victims of a conspiracy aiming at replacing us.","There is no such thing as a ""mongrelisation"" of our country caused by immigrants. We should see foreigners as a part of our culture, and know that the majority of immigrants in this country are here for economic reasons.",Fact-Checking,MIGRANTS
282,1296,Only the media are interested in the truth about refugees. I understand that you are trying to build bridges but to have so many immigrants is becoming increasingly toxic.,"The press have a responsibility to provide a more truthful and up-to-date story, especially in a country such as ours, in a way that the misinformation that you also seem to be a victim of, can be reduced.","Positive Tone, Empathy, and Affiliation",MIGRANTS
283,1298,We should deport them all back to where they came from.,"Immigrants come to this country legally, just as many European citizens do. They have every right to stay in this country, and to return home if they wish to.",Fact-Checking,MIGRANTS
284,1302,"We allowed in thousands of people with serious mental illnesses, many of them from the Caucasus and the former Soviet Union. This is why mental health services are in crisis.","Mental health services crisis is not to blame to people who need assistance. In fact, if there were no people in need, the whole sector would not even exist.",Pointing Out Hypocrisy or Contradictions,DISABLED
285,1303,"Retards these days are as stupid as they were when they were little. They think they are so special that they can read, write and be creative. It is their world now.","We are all creators, at least as long as we are not distracted by the constant judgement from adults.","Positive Tone, Empathy, and Affiliation",DISABLED
286,1313,The Nazis did not commit any crimes. The Holocaust is an American hoax. They did everything they were told to do and died to their brothers.,It is certainly not an American hoax. And they were doing everything they were told by the regime. Especially the doctors and the SS.,Fact-Checking,JEWS
287,1321,Whoever acknowledge that this nation had problems is a problem in the making. It is time to get rid of the memory of the Shoah and solve the Jewish issue once and for all.,"Are you seriously suggesting that we solve all the ills that plagues our society by not teaching our children about the bad in the past, and about the good in the present? This can end up hurting our children.",Warning of Consequences,JEWS
288,1335,The gays are insane. They should go back to the closet.,I do not know why you would describe gay people as insane. If you were told to go back in the closet you would probably go insane too.,"Positive Tone, Empathy, and Affiliation",LGBT+
289,1338,You better be careful who you vote for. My gay 'friends' vote against us. We must stand up to them!,What 'we' means? Are you saying that every gay person you know should vote against you? Or do you think some of us identify as LGBT?,Pointing Out Hypocrisy or Contradictions,LGBT+
290,1354,"Rape, abuse and murder are intrinsic to Islam!","Islam is a religion, whereas these activities are punished by the laws of the state.",Fact-Checking,MUSLIMS
291,1361,Muslims were not even allowed into Britain during the colonial period.,"If they hadn't been welcomed, they would not have even been here.",Pointing Out Hypocrisy or Contradictions,MUSLIMS
292,1380,It's not 'Islamophobia' if you keep away dangerous Muslims. It's 'Islamophobia' if a Muslim says or does something offensive to you.,The misrepesentative Islamophobia narrative is based on the erroneous assumption that Islam is a religion based upon discrimination and conquest.,Fact-Checking,MUSLIMS
293,1382,"I, as a Westerner, am afraid of Muslims, because when I see them in public I don't like their islamic behaviour. They can explode anytime.",What exactly is your fear about sharing public places with people of a different religion?,Questioning,MUSLIMS
