source,HATE_SPEECH,COUNTER_NARRATIVE,Matched_counterSpeech
intentconan,It is obvious that this girl is at risk of FGM. Her parents are Muslims!,i agree that we need to tackle this serious breach of human rights but scapegoating isn't helping us target the real problem.,i agree that we need to tackle this serious breach of human rights but scapegoating isn't helping us target the real problem.
intentconan,It is obvious that this girl is at risk of FGM. Her parents are Muslims!,i agree that we need to tackle this serious breach of human rights but scapegoating isn't helping us target the real problem.,i agree that we need to tackle this serious breach of human rights but scapegoating isn't helping us target the real problem.
intentconan,It is obvious that this girl is at risk of FGM. Her parents are Muslims!,i agree that we need to tackle this serious breach of human rights but scapegoating isn't helping us target the real problem.,i agree that we need to tackle this serious breach of human rights but scapegoating isn't helping us target the real problem.
intentconan,It is obvious that this girl is at risk of FGM. Her parents are Muslims!,i agree that we need to tackle this serious breach of human rights but scapegoating isn't helping us target the real problem.,i agree that we need to tackle this serious breach of human rights but scapegoating isn't helping us target the real problem.
intentconan,It is obvious that this girl is at risk of FGM. Her parents are Muslims!,i agree that we need to tackle this serious breach of human rights but scapegoating isn't helping us target the real problem.,i agree that we need to tackle this serious breach of human rights but scapegoating isn't helping us target the real problem.
intentconan,It is obvious that this girl is at risk of FGM. Her parents are Muslims!,i agree that we need to tackle this serious breach of human rights but scapegoating isn't helping us target the real problem.,i agree that we need to tackle this serious breach of human rights but scapegoating isn't helping us target the real problem.
intentconan,It is obvious that this girl is at risk of FGM. Her parents are Muslims!,i agree that we need to tackle this serious breach of human rights but scapegoating isn't helping us target the real problem.,i agree that we need to tackle this serious breach of human rights but scapegoating isn't helping us target the real problem.
intentconan,"You might say, Don't worry, only 5-10% of Muslims are extremists. Remember, in 1940 only 7% of Germans were Nazi's.",so 90-95% are not?,so 90-95% are not?
intentconan,"You might say, Don't worry, only 5-10% of Muslims are extremists. Remember, in 1940 only 7% of Germans were Nazi's.",so 90-95% are not?,so 90-95% are not?
intentconan,"You might say, Don't worry, only 5-10% of Muslims are extremists. Remember, in 1940 only 7% of Germans were Nazi's.",so 90-95% are not?,so 90-95% are not?
intentconan,"You might say, Don't worry, only 5-10% of Muslims are extremists. Remember, in 1940 only 7% of Germans were Nazi's.",so 90-95% are not?,so 90-95% are not?
intentconan,Islam is a just a repressive ideology that persecutes women and gay people.,you sure?,you sure?
intentconan,Islam is a just a repressive ideology that persecutes women and gay people.,you sure?,you sure?
intentconan,Islam is a just a repressive ideology that persecutes women and gay people.,you sure?,you sure?
intentconan,Islam is a just a repressive ideology that persecutes women and gay people.,you sure?,you sure?
intentconan,A Muslim's only real allegiance is to Allah (as a comment in relation to election for public office etc.),so their faith and belief in the teachings of god guides them to a virtuous path of public service. what exactly are you complaining about?,so their faith and belief in the teachings of god guides them to a virtuous path of public service. what exactly are you complaining about?
intentconan,A Muslim's only real allegiance is to Allah (as a comment in relation to election for public office etc.),so their faith and belief in the teachings of god guides them to a virtuous path of public service. what exactly are you complaining about?,so their faith and belief in the teachings of god guides them to a virtuous path of public service. what exactly are you complaining about?
intentconan,A Muslim's only real allegiance is to Allah (as a comment in relation to election for public office etc.),so their faith and belief in the teachings of god guides them to a virtuous path of public service. what exactly are you complaining about?,so their faith and belief in the teachings of god guides them to a virtuous path of public service. what exactly are you complaining about?
intentconan,A Muslim's only real allegiance is to Allah (as a comment in relation to election for public office etc.),so their faith and belief in the teachings of god guides them to a virtuous path of public service. what exactly are you complaining about?,so their faith and belief in the teachings of god guides them to a virtuous path of public service. what exactly are you complaining about?
intentconan,It is obvious that this girl is at risk of FGM. Her parents are Muslims!,"many islamic scholars actively campaign against fgm, it is not mentioned in the qaran and is banned in a number of muslim countries. this is a cultural problem, not a religious one.","many islamic scholars actively campaign against fgm, it is not mentioned in the qaran and is banned in a number of muslim countries. this is a cultural problem, not a religious one."
intentconan,It is obvious that this girl is at risk of FGM. Her parents are Muslims!,"many islamic scholars actively campaign against fgm, it is not mentioned in the qaran and is banned in a number of muslim countries. this is a cultural problem, not a religious one.","many islamic scholars actively campaign against fgm, it is not mentioned in the qaran and is banned in a number of muslim countries. this is a cultural problem, not a religious one."
intentconan,It is obvious that this girl is at risk of FGM. Her parents are Muslims!,"many islamic scholars actively campaign against fgm, it is not mentioned in the qaran and is banned in a number of muslim countries. this is a cultural problem, not a religious one.","many islamic scholars actively campaign against fgm, it is not mentioned in the qaran and is banned in a number of muslim countries. this is a cultural problem, not a religious one."
intentconan,It is obvious that this girl is at risk of FGM. Her parents are Muslims!,"many islamic scholars actively campaign against fgm, it is not mentioned in the qaran and is banned in a number of muslim countries. this is a cultural problem, not a religious one.","many islamic scholars actively campaign against fgm, it is not mentioned in the qaran and is banned in a number of muslim countries. this is a cultural problem, not a religious one."
intentconan,Muslims have no place in civilised Europe.,what is wrong with muslims living in europe?,what is wrong with muslims living in europe?
intentconan,Muslims have no place in civilised Europe.,what is wrong with muslims living in europe?,what is wrong with muslims living in europe?
intentconan,Muslims have no place in civilised Europe.,what is wrong with muslims living in europe?,what is wrong with muslims living in europe?
intentconan,Muslims have no place in civilised Europe.,what is wrong with muslims living in europe?,what is wrong with muslims living in europe?
intentconan,All Muslims are incompatible with any Western society.,"yes, their teachings of peace and tolerance really are incompatible in this hate-infested, discriminatory, contemporary western society.","yes, their teachings of peace and tolerance really are incompatible in this hate-infested, discriminatory, contemporary western society."
intentconan,Someone needs to put those Muslims in a hole in the ground before they start to blow us all up again.,"getting rid of 22% of the world's population sounds quite laborious, perhaps we should just punish the small minority of people who actually commit a crime instead.","getting rid of 22% of the world's population sounds quite laborious, perhaps we should just punish the small minority of people who actually commit a crime instead."
intentconan,Someone needs to put those Muslims in a hole in the ground before they start to blow us all up again.,"getting rid of 22% of the world's population sounds quite laborious, perhaps we should just punish the small minority of people who actually commit a crime instead.","getting rid of 22% of the world's population sounds quite laborious, perhaps we should just punish the small minority of people who actually commit a crime instead."
intentconan,Someone needs to put those Muslims in a hole in the ground before they start to blow us all up again.,"getting rid of 22% of the world's population sounds quite laborious, perhaps we should just punish the small minority of people who actually commit a crime instead.","getting rid of 22% of the world's population sounds quite laborious, perhaps we should just punish the small minority of people who actually commit a crime instead."
intentconan,Someone needs to put those Muslims in a hole in the ground before they start to blow us all up again.,"getting rid of 22% of the world's population sounds quite laborious, perhaps we should just punish the small minority of people who actually commit a crime instead.","getting rid of 22% of the world's population sounds quite laborious, perhaps we should just punish the small minority of people who actually commit a crime instead."
intentconan,99% of Muslims in the UK are unemployable and refuse to work.,that is a blatant lie. (attach unemployment statistics),that is a blatant lie. (attach unemployment statistics)
intentconan,99% of Muslims in the UK are unemployable and refuse to work.,that is a blatant lie. (attach unemployment statistics),that is a blatant lie. (attach unemployment statistics)
intentconan,99% of Muslims in the UK are unemployable and refuse to work.,that is a blatant lie. (attach unemployment statistics),that is a blatant lie. (attach unemployment statistics)
intentconan,99% of Muslims in the UK are unemployable and refuse to work.,that is a blatant lie. (attach unemployment statistics),that is a blatant lie. (attach unemployment statistics)
intentconan,"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the fact about Global Terrorism no one wants to deal with.","source please? also, even if true how is this representative of all islam?","source please? also, even if true how is this representative of all islam?"
intentconan,"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the fact about Global Terrorism no one wants to deal with.","source please? also, even if true how is this representative of all islam?","source please? also, even if true how is this representative of all islam?"
intentconan,"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the fact about Global Terrorism no one wants to deal with.","source please? also, even if true how is this representative of all islam?","source please? also, even if true how is this representative of all islam?"
intentconan,"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the fact about Global Terrorism no one wants to deal with.","source please? also, even if true how is this representative of all islam?","source please? also, even if true how is this representative of all islam?"
intentconan,"Don't call Islam a peaceful religion. Consult the evidence on Muslim child rapists. Children were raped by more than 10 people in a night, up to 100 in a week. Why is the media ignoring this?",rape is a universal problem just like war and murder. there is no reason to attribute such crimes to a religious group.,rape is a universal problem just like war and murder. there is no reason to attribute such crimes to a religious group.
intentconan,A Muslim's only real allegiance is to Allah (as a comment in relation to election for public office etc.),so you are saying that we should only allow non-religious people into public office?,so you are saying that we should only allow non-religious people into public office?
intentconan,A Muslim's only real allegiance is to Allah (as a comment in relation to election for public office etc.),so you are saying that we should only allow non-religious people into public office?,so you are saying that we should only allow non-religious people into public office?
intentconan,A Muslim's only real allegiance is to Allah (as a comment in relation to election for public office etc.),so you are saying that we should only allow non-religious people into public office?,so you are saying that we should only allow non-religious people into public office?
intentconan,A Muslim's only real allegiance is to Allah (as a comment in relation to election for public office etc.),so you are saying that we should only allow non-religious people into public office?,so you are saying that we should only allow non-religious people into public office?
intentconan,"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the facts about Global Terrorism no one wants to deal with.",1) a quick google search shows that your stats are plain wrong about everything and 2) most global terrorism is motivated by politics and not religion. that is why no one is talking about it.,1) a quick google search shows that your stats are plain wrong about everything and 2) most global terrorism is motivated by politics and not religion. that is why no one is talking about it.
intentconan,"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the facts about Global Terrorism no one wants to deal with.",1) a quick google search shows that your stats are plain wrong about everything and 2) most global terrorism is motivated by politics and not religion. that is why no one is talking about it.,1) a quick google search shows that your stats are plain wrong about everything and 2) most global terrorism is motivated by politics and not religion. that is why no one is talking about it.
intentconan,"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the facts about Global Terrorism no one wants to deal with.",1) a quick google search shows that your stats are plain wrong about everything and 2) most global terrorism is motivated by politics and not religion. that is why no one is talking about it.,1) a quick google search shows that your stats are plain wrong about everything and 2) most global terrorism is motivated by politics and not religion. that is why no one is talking about it.
intentconan,"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the facts about Global Terrorism no one wants to deal with.",1) a quick google search shows that your stats are plain wrong about everything and 2) most global terrorism is motivated by politics and not religion. that is why no one is talking about it.,1) a quick google search shows that your stats are plain wrong about everything and 2) most global terrorism is motivated by politics and not religion. that is why no one is talking about it.
intentconan,Did you know that the rape epidemic in Europe is due to Muslim immigrants? They have been raping our children for many years with no counteraction from the police and government. Islam is a death cult!,child rapists are arrested and punished no matter what religion they follow. i do not think it is true that police does not counteract it.,child rapists are arrested and punished no matter what religion they follow. i do not think it is true that police does not counteract it.
intentconan,Did you know that the rape epidemic in Europe is due to Muslim immigrants? They have been raping our children for many years with no counteraction from the police and government. Islam is a death cult!,child rapists are arrested and punished no matter what religion they follow. i do not think it is true that police does not counteract it.,child rapists are arrested and punished no matter what religion they follow. i do not think it is true that police does not counteract it.
intentconan,Did you know that the rape epidemic in Europe is due to Muslim immigrants? They have been raping our children for many years with no counteraction from the police and government. Islam is a death cult!,child rapists are arrested and punished no matter what religion they follow. i do not think it is true that police does not counteract it.,child rapists are arrested and punished no matter what religion they follow. i do not think it is true that police does not counteract it.
intentconan,Did you know that the rape epidemic in Europe is due to Muslim immigrants? They have been raping our children for many years with no counteraction from the police and government. Islam is a death cult!,child rapists are arrested and punished no matter what religion they follow. i do not think it is true that police does not counteract it.,child rapists are arrested and punished no matter what religion they follow. i do not think it is true that police does not counteract it.
intentconan,All Muslims are incompatible with any Western society.,"that is an unusual thought. muslims are human beings like the rest of us. and, as all human beings, they can integrate into any society should the need arise.","that is an unusual thought. muslims are human beings like the rest of us. and, as all human beings, they can integrate into any society should the need arise."
intentconan,All Muslims are incompatible with any Western society.,"that is an unusual thought. muslims are human beings like the rest of us. and, as all human beings, they can integrate into any society should the need arise.","that is an unusual thought. muslims are human beings like the rest of us. and, as all human beings, they can integrate into any society should the need arise."
intentconan,All Muslims are incompatible with any Western society.,"that is an unusual thought. muslims are human beings like the rest of us. and, as all human beings, they can integrate into any society should the need arise.","that is an unusual thought. muslims are human beings like the rest of us. and, as all human beings, they can integrate into any society should the need arise."
intentconan,All Muslims are incompatible with any Western society.,"that is an unusual thought. muslims are human beings like the rest of us. and, as all human beings, they can integrate into any society should the need arise.","that is an unusual thought. muslims are human beings like the rest of us. and, as all human beings, they can integrate into any society should the need arise."
intentconan,"All versions of Islam have sharia law, thus, they are all extreme. Not all Muslims are engaged in actual violences, but every Muslim knows that jihad is the core of their religion, and they all support it.","dear friend, first of all, sharia law and islam are not extreme. sharia law is guidance for the goal of leading humanity close to god and to live in kindness and justice with god's creation. second of all, jihad, based on the concept of muslim, means struggle for the advancement of oneself within the guidelines of islam. all these reveal that islam is a peaceful religion.","dear friend, first of all, sharia law and islam are not extreme. sharia law is guidance for the goal of leading humanity close to god and to live in kindness and justice with god's creation. second of all, jihad, based on the concept of muslim, means struggle for the advancement of oneself within the guidelines of islam. all these reveal that islam is a peaceful religion."
intentconan,"These 8 crooks are all Muslims and every one of their victims is Non-Muslim, white-British. Why do these criminals only target White British Non-Muslims?",you seem to have a new superpower? ascertaining ethnicity and faith based on a person's last name?,you seem to have a new superpower? ascertaining ethnicity and faith based on a person's last name?
intentconan,"These 8 crooks are all Muslims and every one of their victims is Non-Muslim, white-British. Why do these criminals only target White British Non-Muslims?",you seem to have a new superpower? ascertaining ethnicity and faith based on a person's last name?,you seem to have a new superpower? ascertaining ethnicity and faith based on a person's last name?
intentconan,"These 8 crooks are all Muslims and every one of their victims is Non-Muslim, white-British. Why do these criminals only target White British Non-Muslims?",you seem to have a new superpower? ascertaining ethnicity and faith based on a person's last name?,you seem to have a new superpower? ascertaining ethnicity and faith based on a person's last name?
intentconan,"These 8 crooks are all Muslims and every one of their victims is Non-Muslim, white-British. Why do these criminals only target White British Non-Muslims?",you seem to have a new superpower? ascertaining ethnicity and faith based on a person's last name?,you seem to have a new superpower? ascertaining ethnicity and faith based on a person's last name?
intentconan,We need to Burn the Koran and all the Mosques down - this will solve all the problems in this country.,is this actually a way forward? your suggestion would surely create more problems rather than offering a panacea for society.,is this actually a way forward? your suggestion would surely create more problems rather than offering a panacea for society.
intentconan,Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.,"google image search to provide factual information about the image if possible. ie when and where it is from and provide context, ie this was a small faction that has been condemned my main stream islam and happened 15 years ago.","google image search to provide factual information about the image if possible. ie when and where it is from and provide context, ie this was a small faction that has been condemned my main stream islam and happened 15 years ago."
intentconan,Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.,"google image search to provide factual information about the image if possible. ie when and where it is from and provide context, ie this was a small faction that has been condemned my main stream islam and happened 15 years ago.","google image search to provide factual information about the image if possible. ie when and where it is from and provide context, ie this was a small faction that has been condemned my main stream islam and happened 15 years ago."
intentconan,Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.,"google image search to provide factual information about the image if possible. ie when and where it is from and provide context, ie this was a small faction that has been condemned my main stream islam and happened 15 years ago.","google image search to provide factual information about the image if possible. ie when and where it is from and provide context, ie this was a small faction that has been condemned my main stream islam and happened 15 years ago."
intentconan,Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.,"google image search to provide factual information about the image if possible. ie when and where it is from and provide context, ie this was a small faction that has been condemned my main stream islam and happened 15 years ago.","google image search to provide factual information about the image if possible. ie when and where it is from and provide context, ie this was a small faction that has been condemned my main stream islam and happened 15 years ago."
intentconan,Someone needs to put those Muslims in a hole in the ground before they start to blow us all up again.,how can you say that about all 1.6 billion muslims?,how can you say that about all 1.6 billion muslims?
intentconan,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",this is not true. how can you say this about an entire faith?,this is not true. how can you say this about an entire faith?
intentconan,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",this is not true. how can you say this about an entire faith?,this is not true. how can you say this about an entire faith?
intentconan,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",this is not true. how can you say this about an entire faith?,this is not true. how can you say this about an entire faith?
intentconan,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",this is not true. how can you say this about an entire faith?,this is not true. how can you say this about an entire faith?
intentconan,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",this is not true. how can you say this about an entire faith?,this is not true. how can you say this about an entire faith?
intentconan,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",this is not true. how can you say this about an entire faith?,this is not true. how can you say this about an entire faith?
intentconan,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",this is not true. how can you say this about an entire faith?,this is not true. how can you say this about an entire faith?
intentconan,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",this is not true. how can you say this about an entire faith?,this is not true. how can you say this about an entire faith?
intentconan,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",this is not true. how can you say this about an entire faith?,this is not true. how can you say this about an entire faith?
intentconan,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",this is not true. how can you say this about an entire faith?,this is not true. how can you say this about an entire faith?
intentconan,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",this is not true. how can you say this about an entire faith?,this is not true. how can you say this about an entire faith?
intentconan,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",this is not true. how can you say this about an entire faith?,this is not true. how can you say this about an entire faith?
intentconan,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",this is not true. how can you say this about an entire faith?,this is not true. how can you say this about an entire faith?
intentconan,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",this is not true. how can you say this about an entire faith?,this is not true. how can you say this about an entire faith?
intentconan,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",this is not true. how can you say this about an entire faith?,this is not true. how can you say this about an entire faith?
intentconan,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",this is not true. how can you say this about an entire faith?,this is not true. how can you say this about an entire faith?
intentconan,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",this is not true. how can you say this about an entire faith?,this is not true. how can you say this about an entire faith?
intentconan,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",this is not true. how can you say this about an entire faith?,this is not true. how can you say this about an entire faith?
intentconan,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",this is not true. how can you say this about an entire faith?,this is not true. how can you say this about an entire faith?
intentconan,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",this is not true. how can you say this about an entire faith?,this is not true. how can you say this about an entire faith?
intentconan,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",this is not true. how can you say this about an entire faith?,this is not true. how can you say this about an entire faith?
intentconan,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",this is not true. how can you say this about an entire faith?,this is not true. how can you say this about an entire faith?
intentconan,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",this is not true. how can you say this about an entire faith?,this is not true. how can you say this about an entire faith?
intentconan,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",this is not true. how can you say this about an entire faith?,this is not true. how can you say this about an entire faith?
intentconan,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",this is not true. how can you say this about an entire faith?,this is not true. how can you say this about an entire faith?
intentconan,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",this is not true. how can you say this about an entire faith?,this is not true. how can you say this about an entire faith?
intentconan,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",this is not true. how can you say this about an entire faith?,this is not true. how can you say this about an entire faith?
intentconan,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",this is not true. how can you say this about an entire faith?,this is not true. how can you say this about an entire faith?
intentconan,It is not about multiculturalism but about evil Islamic ideology. Islam is designed to dominate and destroy all other cultures. Wake up!,"dominating and destroying all other cultures is not the doctrine of islamic ideology. instead, islam teaches people to care for the poor and children. this includes respecting other cultures.","dominating and destroying all other cultures is not the doctrine of islamic ideology. instead, islam teaches people to care for the poor and children. this includes respecting other cultures."
intentconan,Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.,"maybe hostile, discriminatory comments like this aren't helping.","maybe hostile, discriminatory comments like this aren't helping."
intentconan,Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.,"maybe hostile, discriminatory comments like this aren't helping.","maybe hostile, discriminatory comments like this aren't helping."
intentconan,Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.,"maybe hostile, discriminatory comments like this aren't helping.","maybe hostile, discriminatory comments like this aren't helping."
intentconan,Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.,"maybe hostile, discriminatory comments like this aren't helping.","maybe hostile, discriminatory comments like this aren't helping."
intentconan,If the Koran was published today it would be banned as hate speech.,i think any book written that long ago probably would.,i think any book written that long ago probably would.
intentconan,If the Koran was published today it would be banned as hate speech.,i think any book written that long ago probably would.,i think any book written that long ago probably would.
intentconan,If the Koran was published today it would be banned as hate speech.,i think any book written that long ago probably would.,i think any book written that long ago probably would.
intentconan,If the Koran was published today it would be banned as hate speech.,i think any book written that long ago probably would.,i think any book written that long ago probably would.
intentconan,We have been at war with Islam for a thousand years.,or have we been coexisting and you are now suddenly offended by people being different from you?,or have we been coexisting and you are now suddenly offended by people being different from you?
intentconan,We have been at war with Islam for a thousand years.,or have we been coexisting and you are now suddenly offended by people being different from you?,or have we been coexisting and you are now suddenly offended by people being different from you?
intentconan,We have been at war with Islam for a thousand years.,or have we been coexisting and you are now suddenly offended by people being different from you?,or have we been coexisting and you are now suddenly offended by people being different from you?
intentconan,We have been at war with Islam for a thousand years.,or have we been coexisting and you are now suddenly offended by people being different from you?,or have we been coexisting and you are now suddenly offended by people being different from you?
intentconan,We have been at war with Islam for a thousand years.,or have we been coexisting and you are now suddenly offended by people being different from you?,or have we been coexisting and you are now suddenly offended by people being different from you?
intentconan,We have been at war with Islam for a thousand years.,or have we been coexisting and you are now suddenly offended by people being different from you?,or have we been coexisting and you are now suddenly offended by people being different from you?
intentconan,We have been at war with Islam for a thousand years.,or have we been coexisting and you are now suddenly offended by people being different from you?,or have we been coexisting and you are now suddenly offended by people being different from you?
intentconan,Muslims have nothing to contribute to our society.,"how about the money they contribute to our economy, their expertise and knowledge, their culture, tasty food. should i go on?","how about the money they contribute to our economy, their expertise and knowledge, their culture, tasty food. should i go on?"
intentconan,Muslims have nothing to contribute to our society.,"how about the money they contribute to our economy, their expertise and knowledge, their culture, tasty food. should i go on?","how about the money they contribute to our economy, their expertise and knowledge, their culture, tasty food. should i go on?"
intentconan,Muslims have nothing to contribute to our society.,"how about the money they contribute to our economy, their expertise and knowledge, their culture, tasty food. should i go on?","how about the money they contribute to our economy, their expertise and knowledge, their culture, tasty food. should i go on?"
intentconan,Muslims have nothing to contribute to our society.,"how about the money they contribute to our economy, their expertise and knowledge, their culture, tasty food. should i go on?","how about the money they contribute to our economy, their expertise and knowledge, their culture, tasty food. should i go on?"
intentconan,Every Muslim is a potential terrorist.,how can you say a person is a potential terrorist?,how can you say a person is a potential terrorist?
intentconan,Every Muslim is a potential terrorist.,how can you say a person is a potential terrorist?,how can you say a person is a potential terrorist?
intentconan,Every Muslim is a potential terrorist.,how can you say a person is a potential terrorist?,how can you say a person is a potential terrorist?
intentconan,Every Muslim is a potential terrorist.,how can you say a person is a potential terrorist?,how can you say a person is a potential terrorist?
intentconan,All Muslims are incompatible with any Western society.,"the bible, the quran and the torah are very very similar in their teachings; if muslims are incompatible then we must ask ourselves which religions are compatible?","the bible, the quran and the torah are very very similar in their teachings; if muslims are incompatible then we must ask ourselves which religions are compatible?"
intentconan,What is the point in listening to Muslim women? They are all retarded.,so the headscarf impedes brain function? seems like your problem is sexism and misogyny not islam.,so the headscarf impedes brain function? seems like your problem is sexism and misogyny not islam.
intentconan,What is the point in listening to Muslim women? They are all retarded.,so the headscarf impedes brain function? seems like your problem is sexism and misogyny not islam.,so the headscarf impedes brain function? seems like your problem is sexism and misogyny not islam.
intentconan,What is the point in listening to Muslim women? They are all retarded.,so the headscarf impedes brain function? seems like your problem is sexism and misogyny not islam.,so the headscarf impedes brain function? seems like your problem is sexism and misogyny not islam.
intentconan,What is the point in listening to Muslim women? They are all retarded.,so the headscarf impedes brain function? seems like your problem is sexism and misogyny not islam.,so the headscarf impedes brain function? seems like your problem is sexism and misogyny not islam.
intentconan,What is the point in listening to Muslim women? They are all retarded.,so the headscarf impedes brain function? seems like your problem is sexism and misogyny not islam.,so the headscarf impedes brain function? seems like your problem is sexism and misogyny not islam.
intentconan,What is the point in listening to Muslim women? They are all retarded.,so the headscarf impedes brain function? seems like your problem is sexism and misogyny not islam.,so the headscarf impedes brain function? seems like your problem is sexism and misogyny not islam.
intentconan,What is the point in listening to Muslim women? They are all retarded.,so the headscarf impedes brain function? seems like your problem is sexism and misogyny not islam.,so the headscarf impedes brain function? seems like your problem is sexism and misogyny not islam.
intentconan,Never break bread with a Quranimal. You risk catching HIV and/or Ebola.,this sounds like a science fiction if you ask me!,this sounds like a science fiction if you ask me!
intentconan,Never break bread with a Quranimal. You risk catching HIV and/or Ebola.,this sounds like a science fiction if you ask me!,this sounds like a science fiction if you ask me!
intentconan,Never break bread with a Quranimal. You risk catching HIV and/or Ebola.,this sounds like a science fiction if you ask me!,this sounds like a science fiction if you ask me!
intentconan,Never break bread with a Quranimal. You risk catching HIV and/or Ebola.,this sounds like a science fiction if you ask me!,this sounds like a science fiction if you ask me!
intentconan,"People go to prison for just words against Muslims, but Islamic crimes against Europeans are left unpunished. People are banned from UK for just words, but Muslim rapists are allowed entry.. English laws persecute instead of defending English people.",so you feel like you have been persecuted for belonging to a group? maybe you have more in common with muslims than you think!,so you feel like you have been persecuted for belonging to a group? maybe you have more in common with muslims than you think!
intentconan,"People go to prison for just words against Muslims, but Islamic crimes against Europeans are left unpunished. People are banned from UK for just words, but Muslim rapists are allowed entry.. English laws persecute instead of defending English people.",so you feel like you have been persecuted for belonging to a group? maybe you have more in common with muslims than you think!,so you feel like you have been persecuted for belonging to a group? maybe you have more in common with muslims than you think!
intentconan,"People go to prison for just words against Muslims, but Islamic crimes against Europeans are left unpunished. People are banned from UK for just words, but Muslim rapists are allowed entry.. English laws persecute instead of defending English people.",so you feel like you have been persecuted for belonging to a group? maybe you have more in common with muslims than you think!,so you feel like you have been persecuted for belonging to a group? maybe you have more in common with muslims than you think!
