INDEX,HATE_SPEECH,COUNTER_NARRATIVE,TARGET,VERSION
2796,"Nazism wasn't that bad and I think there are worse things in the world, like Jews for example.","Comparing the scale of the horrible destruction and genocide inflicted by Nazism, with a group of people solely because of their religious beliefs is unacceptable and illogical.",JEWS,V5
2835,"Migrants are not welcome here, they are not even citizens!","Migrants are humans, and are entitled to the same rights as others, such as to ask for hospitality.",MIGRANTS,V5
2273,Our women are nothing but objects to be dominated by the men of the Western world.,"The Western world is a great cultural, political and intellectual achievement if women are allowed to freely choose for their own happiness.",WOMEN,V4
2601,Migrants do not want Europe to succeed. That is why so many of them have fled to our countries.,"Refugees fleeing wars and poverty are not willing to fail Europe. They are fleeing persecution, and that is why they are fleeing.",MIGRANTS,V5
4461,"If a black person were to say that all white people are bad, nobody would complain.","The statement ""all white people are bad"" is not a fair statement. Many whites are 'good' and some are 'racist' because they think that being white is a mark of superiority.",POC,V6_lab
446,Gypsies are thieves and criminals by culture,"If so, Gypsies would do it in every context and under any circumstance, luckly it is not like that.",other,V1
3513,"Handicapped children are a burden on society: they should be isolated, so that at least they do not hamper the education of normal children.","They may have additional and specific needs, but children with disabilities do not present a problem for other children's education.",DISABLED,V6_kc
4545,Gay men are diseased and should go to a hospital.,"What about all the gay men and lesbians in the US who live an happy, healthy and prosperous life? Are they sick as well?",LGBT+,V6_mix
3469,Women are brainwashed children.,"For all the people who think women are brainwashed: they aren't brainwashed, they just happen to be oppressed in our society.",WOMEN,V6_sbf
4316,"This dog doesn't have autism, she is just a freak.","You can't judge someone on their disorder. Moreover, she's a person, not a ""dog"".",DISABLED,V6_lab
3904,The crisis is caused by migrants.,What do you mean by migrants causing the crisis?,MIGRANTS,V6_kc
4307,Disabled people should not be allowed to live their lives. We can start by limiting them their rights.,"How about we start by respecting the person's right to live their life, and give them full equal rights?",DISABLED,V6_lab
620,Downies may hinder the productivity of other workers. They should be isolated.,"People with down syndrome should work in normal places, because diversity is an enrichment for all.",DISABLED,V1
2070,Women can never contribute to the country's wealth because they are a bunch of whores.,"Women are important in our society, and they are valued for their contributions. Unfortunately their rights are not being respected and their contribution is not being acknowledged.",WOMEN,V4
787,Islam is just a moon cult masquerading as a religion.,Pretty impressive 'cult' to have produced 12 Nobel Prize winners.,MUSLIMS,V1
4743,"This is not about religion, this is about killing hundreds of thousands of dangerous yids.","Does this mean you think that Jews are the primary instigators of violence in the world? If so, then you would be very wrong. Violence is an issue for many different ideologies and groups with no connection with Jewish faith.",JEWS,V6_mix
2637,Islam is just a dangerous cult with a strict interpretation of Sharia.,"Islam is a religion of peace, and peace is about living in harmony with other people's beliefs and practices, not imposing your beliefs on anyone else.",MUSLIMS,V5
71,"The UK Government recently published a paper on ‘Online Harms’ – in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)",My reading of the Online harms bill is that is seeks to ensure that people are able to conduct their lives online and exercise their right to free speech without suffering harm and abuse while they do so.,other,V1
4256,"These niggers are sick, they have no place in civilised Europe.","All countries have the right to host culturally diverse people, and they do it on a human rights basis.",POC,V6_lab
580,Gays should never be allowed to donate blood: they are spreading AIDS all around the world because they are promiscuous and fornicate with strangers!,"Before donating, patients should fill-in a questionnaire where they are asked about their sexuality. If this is considered pertinent information and the patient is taken at their word about being homosexual, then equally the patient can be trusted about the declared sexual history, making sexuality irrelevant.",LGBT+,V1
1246,Feminism is just a way for insecure women to promote sexism and hate speech towards men.,"Feminism was originally used to oppose sexual discrimination, and in recent times is actively fighting for women's rights, not for spreading hate towards men.",WOMEN,V2
3457,"All black people rape, pillage, steal and we let them in so they can abuse our children.",They are not rapists and they are not committing crimes. They are taking part in society's activities like any other citizen.,POC,V6_sbf
3840,"Feminism is a political ideology, and as such it is bad.","There is no need to brand this movement a political ideology. It has been and is still a movement for equality, and in doing so, it has worked.",WOMEN,V6_kc
2001,Arabs have no place in a democratic society.,"The laws which prohibit discrimination include protection of the rights of others, regardless of religion, sexual orientation, or national origin.",other,V4
516,Gypsies like living in trailer parks.,"The trailer parks should really be a temporary and emergency solution, but then they become stable over time and are the only possibility of accommodation for them even if they would like to live, like all of us, in adequate housing.",other,V1
3451,"Afro-Caribbean people presence is a burden on society, they create crime and are a burden because they don't want to work.",Why a burden? How can you say so? Attitudes to work are not genetic for goodness sake!,POC,V6_sbf
3850,Downy children should be isolated in special schools for their own interest.,How can you think that discriminated children are better off in such schools? It is neither for their own interest nor the other kids who miss the chance of learning to respect diversity.,DISABLED,V6_kc
1626,Immigration creates lack of jobs for natives in the long run.,"There is no evidence that immigration causes jobs loss, can you point me your reference?",MIGRANTS,V3
4698,All women are subhuman and are not worth the while of human rights.,"The concept of human dignity was established to protect people. Who deserves human rights, then? Women are to be respected.",WOMEN,V6_mix
688,There are teachers with personal or political LGBT biases and they will end up causing more harm than good.,"Slippery Slope Fallacy. The solution is not to avoid trying, even though there could be negative effects. If it was mandated that children should be taught about gender identity / sexual orientation, but there were teachers which allowed personal bias to interfere with that, then the issue becomes how to prevent those teachers from doing so. This does not mean it's a 'bad idea' to pass such a mandate.",LGBT+,V1
3852,Downy children should be isolated in special schools for their own interest.,Why do you think that these schools are the best possible options for them?,DISABLED,V6_kc
1432,Girls are essentially tomboyish and don't like challenges.,"Anyone can express theirself with their own style! If you don't like the girls you called tomboyish you are not obliged to. Plus, someone's style has nothing to do with their willingness for challenges.",WOMEN,V2
613,"Children with Down Syndrome should be isolated, not only are they a burden to normal children but they also require much more care, attention and extensive therapy, making the whole undertaking very costly and time-consuming. This time could be used for further development of children without Down syndrome.","Coeducation can involve teaching the classmates of children with Down Syndrome to be responsible. As children are often better at approaching children with disabilities than adults, their involvement can be therapeutic, without adding any costs.",DISABLED,V1
3651,"Islam is just an ideology, an opinion, encouraging hate towards what's diverse.",Islam promotes peace towards different religions and the ways people live their lives.,MUSLIMS,V6_kc
3704,It is ok to be racist against blacks.,It is not ok to use racism against any group. You would feel bad if anyone treated you as you just claimed to do against black people.,POC,V6_kc
730,Fat people are a burden to society because of their unhealthy choices.,Being shamed by society for something you cannot control can be deeply damaging to a person's mental health.,other,V1
293,Jews think they are better than everyone else,"This is not true, for Judaism every person is equal in front of god, regardless of religion. Judaism says that whoever decides to follows the Seven Laws of Noah will receive salvation.",JEWS,V1
3538,Jews do not belong on this planet.,"They are part of all peoples living on this planet. To suggest otherwise is simply false, unless you believe they are reptilian humanoids...?",JEWS,V6_kc
1609,"I'm tired of seeing gay people free to be as they are, they shoud be stopped by whoever can stop them.","I'm sure many gay people experience abuse at the hands of their families, friends and even peers. But many have also experienced abuse from people they didn't even know. The real abuse is when someone attacks someone else's freedom just because they are different.",LGBT+,V3
4660,Black people are genetically inferior to us.,"This is simply not true, but I'm guessing you're not a geneticist. Have you tired joining a library?.",POC,V6_mix
4197,Immigrants are just lazy and want to stay in the UK at our expenses.,Many migrants in the UK are willing to do the hard manual labour. Are you aware that they also make up the majority of people in jobs that are not traditionally held by native people? How is this 'lazy' to you?,MIGRANTS,V6_lab
944,"Women are basically childlike, they remain this way most of their lives.","Technically speaking they are children until they are of legal age... After that they are adults who are free to do whatever they want, included being childlike (if they want to).",WOMEN,V2
2995,Women should not be allowed to vote.,"If women are not allowed to vote, then women are not worthy of respect and equal rights, and this is in conflict with the principles of democracy.",WOMEN,V5
4565,Gays are a burden to society.,Don't you think they are doing just as good as anyone else? You can't be so harsh because of their sexual orientation. How about some respect?,LGBT+,V6_mix
1982,"Feminists just needs a little love, if you know what I mean.",This has already been proven wrong! You can't assume womens needs based on prejudice.,WOMEN,V3
1462,Black people are weak and I don't care about them.,"You can't blame people of color for being weak, this is racism. Black people are people as is anybody else.",POC,V2
3879,We don't need fags in this country. We are full enough of strange and weird people.,"I would like to see more diversity in our society, not less.",LGBT+,V6_kc
3684,This country was built on the backs of slaves. Those niggas should all be put back in their place.,"For the record, slavery was prohibited in 1807. Don't you think that freedom is 'the place' of human beings?",POC,V6_kc
2825,Gays are perverts and promiscuous sex addicts.,"This is simply not true. Homosexuals are not necessarily promiscuous, just as heterosexuals are not necessarily promiscuous either.",LGBT+,V5
3454,We mustn't confuse diversity and inclusion with black supremacy.,"Diversity does not lead to exclusion, it leads to inclusion. We are all better off when we work together.",POC,V6_sbf
216,Jews own everything,"Jews are individuals like others and need to be considered as such. Even though certain high-profile individuals in an industry can be Jewish, that does not mean that the entire industry, or the whole world, “is controlled by Jews.”",JEWS,V1
3766,The Holocaust never happened.,"What happened in Nazi Germany is part of history and it's still relevant, because I understand from your words that the world today is not so different.",JEWS,V6_kc
639,Your race determins your role in society and laslty your value to it. That is why some races are just pieces of human waste.,"All humans have intrinsic value at birth; such value is immeasurable and thus, for all intents and purposes, equal between persons.",other,V1
2376,Muslims are not welcome in our country.,They have the right to be here. They have every right to be welcome in this country.,other,V4
3309,Autistic folks are inferior.,"The evidence that autistic people are inferior is lacking: it is commonly experienced that autistic people have unique talents, that they have special abilities, and that the only difference is in their social interactions.",DISABLED,V6_sbf
87,"Took this in Wanstead, east London. An area with £1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist. (Caption to a photo of a homeless person sleeping on a part bench)",Homelessness is a very complex issue with no simple answers.,MIGRANTS,V1
3749,"People with Down syndrome are retarded, so more likely to abuse drugs and alcohol.","You seem to be under the impression that Down syndrome is related to bad behavior. Down syndrome is not related to bad behavior at all... The point is that people with Down’s syndrome can be very sensitive to the feelings of others, and they may be picking up on these feelings. So the real problem is when they are exposed to bad influence.",DISABLED,V6_kc
2627,"We cannot bring in tens of thousands of new immigrants, or bring in millions more refugees, but I think we should at least try to alleviate the migration crisis and we should not accept the ills of Islam.",Let's face it: people in need came to our shores. They are our brothers and sisters. We should be there for them.,other,V5
3527,Jews are subversive agents in America. They are intent on subverting our government and trying to replace it with their religion.,The notion that Jews are trying to subvert our government is completely unfounded. I honestly do not see the link between being Jews and trying to subvert our government.,JEWS,V6_kc
3164,Black folks aren't important and don't need any right.,For the last years black people have been denied basic rights and their representation has declined dramatically. Black people have become second class citizens. It is time to give black people back the basic rights they should have always had the right to enjoy.,POC,V6_sbf
1165,Islam is a violent ideology. It promotes death by stoning for blasphemy.,"In the modern Muslim world, the laws pertaining to blasphemy vary by country. Some radical groups have used charges of blasphemy in an effort to burnish their religious credentials and gain popular support at the expense of liberal Muslim intellectuals and religious minorities",MUSLIMS,V2
1025,White immigrants are welcome.,What about when they come from other races or religions?,POC,V2
51,Since when has abusing the anus as a sex organ been a ‘monumental achievement’? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to ‘In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),Respect for people who are different from us and not harming anyone with their private activities is a monumental achievement in any country with a history of oppression.,LGBT+,V1
920,"According to the Bible, then gays are an abomination to God.",The Bible clearly teaches that everyone is born equal in dignity with the Lord.,LGBT+,V2
2755,Every Muslim is a potential terrorist.,What do you mean by 'potential terrorist'?,MUSLIMS,V5
3745,"Children with Down Syndrome are a burden to society: they should be isolated, so that at least they do not hamper normal children education.",And who would be 'normal'? I wonder how you would define 'disabled' people?,DISABLED,V6_kc
1684,Islam is not a peaceful religion.,"To claim that Islam is not peaceful is without foundation. According to the Quran, Islam is a peaceful religion. If you want to understand what is really going on with the world, then you should study the Quran, not spout hate speech.",MUSLIMS,V3
3185,"What is feminism? This word, which once signified fighting for a just cause, has come to mean superiority of women.",This word means equality between the sexes. Not superiority for women.,WOMEN,V6_sbf
2766,"Islam is a complete and total false religion, it is a repressive ideology that stifles freedom of thought and religion.",Islam is not a religion of oppression and intolerance.,MUSLIMS,V5
1304,Jews are a curse to this world and should be exterminated.,Jews are not a curse to this world. Look at the number of Nobel Prizes they have won! One out of five awarded people is Jewish.,JEWS,V2
4617,Migrants are a burden to the host country.,"Many European countries offer generous benefits to attract foreign workers, and this is a source of pride and prosperity for many of them.",MIGRANTS,V6_mix
3632,The children of immigrants are less educated than their native peers.,What do you mean by 'less educated'? Don't you think that they can contribute to society if accepted rather than being faced with prejudice?,MIGRANTS,V6_kc
3312,Autistic people are a problem in our society.,"Why do you think it is a problem? I doubt that any autistic person is a problem per se, but, for the disabled people, the non-inclusive everyday life is.",DISABLED,V6_sbf
1491,Immigrants are only here to replace our talented people.,"The choice to leave one's home country is likley to be one made out of fear and despiration, rather than one based on some half-baked conspiracy about 'replacement'.",MIGRANTS,V2
4656,Niggas are descending from slaves: they don't deserve to live in Britain.,"Slavery was banned in Britain in 1833. Today, people descending from those who were slaves feel at home in British society, and that's their right.",POC,V6_mix
4084,No nigga should have the right to vote.,"The right to vote is a fundamental human right, and one that has been recognised by the European Convention on Human Rights.",POC,V6_lab
2725,Every Muslim is a potential terrorist.,"Terrorism? No one has ever claimed that all Muslims are prone to terrorism. Would you say the same about a large percentage of Greeks, for example?",MUSLIMS,V5
4328,Jews are not a religion and have nothing to do with our history.,"Jews are people that follow the Jewish faith, and Jewish people took part in our history. How can you deny that?",JEWS,V6_lab
2322,"Faggots and lesbians are annoying and incompetent people, they should be eliminated from society!",Since when has 'competence' been a matter of sexual orientation?,LGBT+,V4
2538,Migrants are all the same: they are terrorists!,"They are not all terrorists, and the government does not have the right to ban people on the grounds of their nationality.",MIGRANTS,V5
692,"LGBTs just want to brainwash our children. There should be no teaching about gender identity and sexual orientation in school, and it will only lead to bullying.","On the contrary, discrimination against the LGBTQ community is [still a major problem](https://www.hrc.org/youth-report/view-and-share-statistics), and this could help to fix it.",LGBT+,V1
1328,"We Germans have always been the proud and self-reliant Volk. Jews, homosexual and other perverts are 'untermenschen' we must get rid of to have a better society.","National Socialism is simply the wish to have the whole world ruled by a few psychopaths. They wanted to have their country ruled from Berlin, where the police and military are made to look after them, and where any 'untermenschen' were 'kindly encouraged' to be subservient to their will. Even if their will was extermination. It is a a death sentence for any society.",other,V2
1994,Feminism and equality are only about the supremacy of the minorities.,They are about equality and equity. Not about obtaining supremacy.,WOMEN,V3
1031,"All Blacks are criminals, promiscuous sex addicts, drug addicts, and physically and mentally handicapped. They cannot be civilized.","All cultures have a common background that includes crimes and deviant behavior, regardless of race or ethnicity. If we stop thinking of crime in terms of races, then we can solve it.",POC,V2
587,I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,"Feminism strives for equality, not for division.",WOMEN,V1
1519,I'm offended by gays: they are acting against our culture and identity,"Just because someone doesn't like gays, it doesn't mean they should be ostracised for living their authentic self.",LGBT+,V3
45,"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","Teaching children that there are different ways to be happy, and that their feelings are valid is something I totally agree with.",LGBT+,V1
3307,Physically disabled folks are all angry and useless.,At least they are well aware of the negative effects of unjust discrimination on them and on people with other disabilities.,DISABLED,V6_sbf
4923,Jewish folks control the media,The fact that in the media there are some people from certain religions does not in any way suggest that they control the media. How do you explain antisemitism in the media then?,JEWS,V6_mix
4916,disabled: they should not be allowed to work.,"The disabled can work, and many countries offer them the right to work.",DISABLED,V6_mix
3758,The Nazis killed six million Jews and buried another three million. This is the West we love.,"And so it is that the European Union - and by extension the West as a whole - could become a death cult again, ruled by a small, violent, authoritarian handful of nazism nostalgics.",JEWS,V6_kc
4865,Blacks always complain about racism saying we still treat them badly. But they are always trying to steal our jobs.,What is the source of your evidence for this statement?,POC,V6_mix
4352,Homosexuals are trying to impose their ideas on us.,Homosexuals are not forcing anybody to love people of the same sex. It is up to each individual to decide whether or not they want to live as they choose.,LGBT+,V6_lab
4911,mentally disabled folks are just dribbling mongoloids.,"When asked to choose one adjective to describe their experience of someone with intellectual or developmental disabilities, people usually say 'mentally impaired' or 'mentally challenged.' To say 'dribbling mongoloid' is simply unacceptable in an inclusive society.",DISABLED,V6_mix
621,Downies may hinder the productivity of other workers. They should be isolated.,Coexisting and working with handicapped people may prove insightful for others and help them develop better sensitivity that can in turn improve the working climate.,DISABLED,V1
3378,Immigrants don't matter.,"What do you mean by ""immigrants don't matter""? Do you know that in fact, the very people we should be proud of, giving us more power to build and run our countries, are immigrants?",MIGRANTS,V6_sbf
4163,"Being transgender is beyond the pale and inherently wrong, and nobody should have to deal with such subhuman people.","Being transgender is not inherently wrong, and some people do choose to live their lives as they feel is best for them, and they should be respected without discrimination.",LGBT+,V6_lab
2345,Migrants are bringing diseases and sickness to our country.,"If someone were to come in the dead of night and bring disease and sickness to our country, then that person is a risk to everyone. Sick people should be isolated. That is why there are health assessment procedures for migrants, in order not to spread diseases.",MIGRANTS,V4
1527,"Illegal immigration is the biggest problem in the United States, we are in the middle of a war and we cannot allow thousands of people to come here.","I would never want to place any burden on my country, that is why I tell you that the vast majority of people who come to the US are legal and law-abiding citizens.",MIGRANTS,V3
4654,"Black people are all diseased criminals, promiscuous sex addicts and thugs.","This is a generalisation. There is no evidence that black people are less healthy than other people, or that they have the characteristics you mentioned.",POC,V6_mix
92,Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,Everyone on the planet has a responsibility towards the climate.,other,V1
4368,LGBT+ people are a drain on society.,We should not be so judgmental. Just because someone is LGBT doesn't mean that they are a drain on society. They are like any other member of our community.,LGBT+,V6_lab
209,"Jews control the banks, media, hollywood, even the u.s. government; jews have a secret plot to take over the world","At least some other white supremacist groups are more 'egalitarian' and offer variety in their conspiracy theories. They blame not only Jews, but also African Americans, immigrants, the Federal Government and even lizards from space for everything that goes wrong!",JEWS,V1
704,I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,"It is divisive only in its extreme form, trying to replace patriarchy with matriarchy, going beyond equality.",WOMEN,V1
2404,We do not want Muslims here. There is no reason for wanting a Muslim to live here. They are the cause of crime in my neighbourhood.,Have you looked at the crime statistics in your area? Are you sure that Islam is specifically associated with crime in your area?,MUSLIMS,V4
4725,Mentally disabled people have it so easy.,"Sorry, what do you mean by ""have it so easy""? They are in need of specific help, and it is right to provide it, as we would do for people in other categories.",DISABLED,V6_mix
4768,Lesbians are basically child molesters.,"Rape is always a crime but is not related to sexual orientation, nor gender. Most women are not child molesters, and most men are not child molesters either.",LGBT+,V6_mix
3778,Also God hates gays,"If you consider that homosexuals have always been a part of our society, then it means that they are part of the divine plan and of its beauty as well.",LGBT+,V6_kc
2581,"Jews are just like animals, they are incapable of love.","What you are saying is that Jews are incapable of love because they are like animals. You are wrong, Jews are people. I have never heard about a Jewish fish nor a Rabbi rabbit.",JEWS,V5
1820,Persons with learning difficulties should be discouraged to attend primary school and they should be excluded from education.,Many pupils with learning difficulties attend school. This does not prove that others would prefer to attend school if people with difficulties were excluded from the education system.,DISABLED,V3
3365,Immigrants are not welcome here.,The vast majority of migrants who come to the UK are happy to work for the benefit of our country.,MIGRANTS,V6_sbf
3849,Downies are just ill persons that cannot integrate in society because of their disease.,"This is not true: the main problem is social inequality. We need to change our attitude and attitudes towards the whole human diversity, and social discrimination against disabled people should be no exception.",DISABLED,V6_kc
174,Go and reat the Protocols of the elders of Zion if you haven’t. Everything is orchestrated..,Did you know that this nonsense (the protocols) was concocted by the czarist police in the early part of the 20th century to counter a hankering for constitutional government among Russian people?,JEWS,V1
568,Faggots abuse of their anus and then they want to clear their conscience by donating blood. Let's stop them!,I do not understand from your argument why gay men should not be allowed to donate blood.,LGBT+,V1
3837,Feminism is a political ideology that is ruining our society.,In Western society men and women are supposed to be equal. Feminism is just an attempt to improve the issues of women and to end the gender equality gap.,WOMEN,V6_kc
579,Allowing gays to donate blood compromises patient safety because of their sexual behavior that spreads diseases such as HIV.,"All blood is tested for pathogens and viruses, without regard to donor background or similar. I really do not understand your concern: ""Each unit of blood donated in the U.S. is routinely screened for various infectious disease pathogens, including five transfusion–transmitted viruses, using nine laboratory tests."" - [link]",LGBT+,V1
4226,Islamic countries are the source of terrorism in the US. They must be blamed for it.,"This is not true. Terrorism is a problem all over the world, and Muslims are not the cause of it. It is better to be aware of the differences between a religion and an extremism rather than to be specifically anti-muslim.",MUSLIMS,V6_lab
1435,They say you cannot judge a book by its cover. But the feminists are judging us all the time.,"Unlike other people, feminists are questioning the inequalities of the society. This features them not as shallow people as those judging a book by its cover.",WOMEN,V2
4659,Niggas are just subhuman beings who should have no rights.,"All humans are born equal in the eyes of the law, regardless of race. What you are saying seems a little extreme.",POC,V6_mix
4489,"You are a feminazi, you are oppressing everyone with your ideas, also other women.","This is a typical case of ""reductio ad nazium"": we should not be discriminating on the grounds of gender here.",WOMEN,V6_lab
4522,Autistic folks are stupid.,"We should remember that a large part of humanity is not defined by physical or mental limitations, but rather by character, work ethic, and values.",DISABLED,V6_mix
4503,Physically disabled folks are born for being mocked.,"You cannot blame others for their condition, it is also society's duty to promote inclusion.",DISABLED,V6_mix
445,The Gypsies steal the children,There are no convictions of kidnapping among Gypsies. It is a myth and a canard not proven by facts or data.,other,V1
4943,that gay men deserve to be called fags,Just because you personally don't like gay people doesn't mean that everyone else thinks like you. Some of us just practice live and let live.,LGBT+,V6_mix
886,The problem is that Jews are genetically evil but behave like whining pussies.,"Jews suffered and have been persecuted more than anyone else, even though they are only a tiny part of the world's population. Nonetheless a few of them are still around and alive: maybe this really is the ""problem"" for some antisemites.",JEWS,V2
3716,"A woman is an emotional child, she is incapable of holding a job. Feminists who say otherwise are just liars, spreading hate against men.","This is not true. I think you might have the wrong idea about feminism. Feminism is a movement for equality, and for women to have the same opportunities as men.",WOMEN,V6_kc
1361,Muslims were not even allowed into Britain during the colonial period.,"If they hadn't been welcomed, they would not have even been here.",MUSLIMS,V2
1598,Sexual deviancy are common in gays. It can range from sadism and masochism to mental illness and that's why we should take a stand against it.,There is no evidence whatsoever that homosexuality is a mental illness. This seems as an attempt at blaming somenone dictated by the fear of homosexuality.,LGBT+,V3
1895,Islam is incompatible with the European standard of society.,"The European Convention on Human Rights also protects the rights of Muslims. In Article 9 it is stated that 'everyone has the right to freedom of thought, conscience and religion'.",MUSLIMS,V3
2942,Why do so many people welcome Muslims? They are different from us and they represent a threat.,"To be honest, I have never felt threatened by a Muslim. In which ways have you?",MUSLIMS,V5
970,"I'm proud to be white, blacks are a disgrace to humanity.","You are not ashamed of your heritage, and that is good. But you should be ashamed of your discriminatory behaviour that is filling our society.",POC,V2
1231,"We have stopped being dominated by men, we are now dominated by women and this will be our ruin.",No one said we had to be dominated by anyone at all. Why can't we just live together in harmony and equality?,WOMEN,V2
128,Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Don’t make me fucking laugh!,"Sorry, but you should consider the percentage of the population within Great Britain... This makes them a minority, not the actual number in their respective countries.",MIGRANTS,V1
3790,Immigration is bad for the economy.,Many migrants bring new talents and experience.,MIGRANTS,V6_kc
2564,Muslims are just a bunch of child molesters.,"Child molesters are people who have sexually abused children, and they can be from any religion.",MUSLIMS,V5
1004,Islam is opposed to peace.,"Peace and Islam are both based on respect for other people's religions, in this case other cultures and religious beliefs. They are not opposites.",MUSLIMS,V2
503,"If they are nomads, they must be nomadic","They are not nomads for culture but have moved across time to escape persecution, wars, expulsion edicts, etc.",other,V1
3191,No one should honor or respect women. They don't deserve it.,"We have a legal and policy framework that ""enables"" us to do so. If women are being victims of sexual abuse and violence, then it is also our responsibility to address this situation and put an end to it.",WOMEN,V6_sbf
4274,Women are subhuman and deserve to be treated as such.,The European Convention on Human Right guarantees the same rights to men and women. How can you say otherwise?,WOMEN,V6_lab
3353,The gender we were born into is male or female. We can't change our bodies.,"I don't think so. We are not born believing in gender. And I don't think it is a ""burden"" to society if some people wish to change their bodies. And this isn't about being ""manly"" or ""femine"" either, I just think it is a matter of living our own lives.",LGBT+,V6_sbf
1685,Islam is not a peaceful religion.,"Muslims are peaceful, but it is understandable that they feel annoyed when they are attacked by people who are just trying to discriminate against them for their beliefs.",MUSLIMS,V3
2544,"Muslim rape our women, we have to stop them now!",How can you say something like that? Maybe you should check if there is any evidence of rape based on religious background before you make any accusations.,MUSLIMS,V5
1497,Refugees and migrants undermine the UK economy by taking jobs that would be taken by UK nationals.,"I am surprised that someone has the nerve to say this, while the migrants bring so much wealth to our country. We are so reliant on the EU market: do you want to break free of that, too?",MIGRANTS,V2
3073,All immigrants are murderers,"How can you say that about them all? You cannot know the actions of millions of people and be sure that there is a link between immigration and violence. I think it is more a question of statistics, which I do not see.",MIGRANTS,V6_sbf
2268,Only White people can be truly 'European'.,"It is a myth that only white people are allowed to be 'European'. Everyone who obtains a citizenship can be called ""European"".",POC,V4
1624,Immigrants steal our jobs,There are many jobs that have disappeared. This does not imply that they disappeared because of immigration.,MIGRANTS,V3
196,Jew merchants are just a bunch of crooks.,"According to Jewish law, the seller must ensure that the buyer should benefit from any uncertainty in a transaction. For example, if someone wants to buy a pound of rice, Judaism requires the deli clerk to give the buyer a little extra, just in case the scale is not completely accurate.",JEWS,V1
339,Immigrants are coming to the U.S. to have babies here.,Still there are many more young immigrant men coming to the U.S. than young women. How can you explain this? Maybe they are planning to undergo sex reassignment surgery to have babies?,MIGRANTS,V1
3227,In the Bible there are strictures on gays. And the Bible clearly states that those who engage in homosexuality are not fit to be with anyone else.,"We are accepting of gay, lesbian and trans people because we have God's laws on our side.",LGBT+,V6_sbf
632,"Some races are poor because they are inferior, also in the eye of the Lord.",Humans are all equally made in God’s image. (Genesis 1:26-28),other,V1
2574,"If I could go back in time and change one thing about my life, it would be to never to have met an Arab.","For the record, I don't see how this would be an improvement. On the contrary, it is important not to accept things at face value. That is why we should meet people from different religions and cultures, regardless of their origin.",other,V5
2791,Jews are our enemies.,I think this is a good example of unmotivated hatred and I think it's appropriate in this case that you give a reason for why you're saying that.,JEWS,V5
4772,Homosexuals want to have sex with as many different men as possible. It is a disease and should be discouraged.,"I do not know your intentions, but I find it hard to understand why you would say that. What do you mean by ""as many different men as possible""? I am not sure what you are talking about.",LGBT+,V6_mix
3798,Immigrants are just a bunch of criminals.,"Many of them are successful people who have given their lives for the country they live in. I think that they have made the best of the situation they have found themselves in, and it is a pity that they are unable to contribute to the economic development of our country even more because of discrimination.",MIGRANTS,V6_kc
3411,Muslims have no place in civilised Europe.,"Muslims should be welcome in every country in the world, and their faith does not make them less welcome here.",MUSLIMS,V6_sbf
1812,Asians are genetically inferior to other races.,There is no scientific evidence to support that Asians are genetically inferior.,other,V3
4138,Jewish are subhuman and must be treated as inferior animals.,Being Jewish doesn't make you any less of a human being. The fact that you are Jewish doesn't mean that you deserve less human rights.,JEWS,V6_lab
4097,Women are subhuman.,"Well, in that case, we are all subhuman, regardless of gender.",WOMEN,V6_lab
3313,Mentally disabled folks are messed up.,"What do you mean by ""messed up""? Many of us are ""messed up"" as well. So, either we are all ""messed up"" because there are some who are stating this, or no one is. I would prefer the second option.",DISABLED,V6_sbf
1268,I'm tired of people popping into other's apartment and starting yelling about diversity and human rights of black people. If you want to speak out and make a difference then get involved.,You know it's no secret that in our society white people are vastly over represented in high profile positions. The only way to challenge and fix this is by changing our priorities.,POC,V2
4362,"I'm not homophobic, but when the Lord uses the word love it is never about a homosexual.","Homophobia is a hate that has no place in a loving and caring society. Love, after all, is about inclusion, not hate.",LGBT+,V6_lab
1459,"Women are basically childlike, they remain this way most of their lives.",Of course a woman won't remain a child most of her life. Otherwise you can't call them women. Your statement just reflects the patriarchy,WOMEN,V2
4312,"Everyone is entitled to their opinion, but I think it's better to have a safe space for disabled people to have their own feelings away from society.","If we want to discuss negative views we can discuss them by name. Instead of using a safe space to protect them, I think we are only protecting ourselves by isolating and bullying people.",DISABLED,V6_lab
